A,determinant,B
gantelet,d',acier
mitaine,de,cuir
moufle,de,laine
gant,de,cuir
mitaine,de,laine
cuissard,d',acier
cuissot,d',acier
genouillère,d',acier
jambière,d',acier
grève,d',acier
soleret,d',acier
poulaine,de,cuir
bottine,de,cuir
botte,de,cuir
brodequin,de,cuir
chaussure,de,cuir
soulier,de,cuir
espadrille,de,toile
sandale,de,cuir
sabot,de,bois
galoche,de,bois
socque,de,bois
pantoufle,de,feutre
chausson,de,laine
mocassin,de,cuir
babouche,de,cuir
mule,de,cuir
claquette,de,bois
tong,de,caoutchouc
basket,de,toile
tennis,de,toile
chaussure,de,toile
godillot,de,cuir
rangers,de,cuir
bottes,de,caoutchouc
botte,de,caoutchouc
ceinture,de,cuir
courroie,de,cuir
sangle,de,cuir
baudrier,de,cuir
bandoulière,de,cuir
bretelle,de,cuir
ceinturon,de,cuir
baudrier,de,toile
écharpe,de,soie
ceinture,de,tissu
cordon,de,soie
lacet,de,cuir
lanière,de,cuir
attache,de,cuir
boucle,de,fer
agrafe,de,bronze
fermoir,d',or
broche,d',argent
fibule,de,bronze
épingle,d',or
aiguille,d',or
épingle,d',argent
épingle,de,bronze
bouton,d',or
bouton,d',argent
bouton,de,nacre
bouton,d',ivoire
bouton,de,corne
rivet,de,cuivre
œillet,de,laiton
ferret,de,métal
agrafe,d',argent
crochet,d',argent
attache,d',or
chainette,d',or
gourmette,d',or
bracelet,de,cuir
bracelet,de,fer
bracelet,de,bronze
jonc,d',or
anneau,d',or
alliance,d',or
chevalière,d',or
solitaire,de,platine
diamant,de,carbone
rubis,de,corindon
saphir,de,corindon
émeraude,de,béryl
perle,de,nacre
corail,de,calcaire
ambre,de,résine
jais,de,lignite
ivoire,d',os
nacre,de,coquillage
écaille,de,tortue
corne,de,kératine
os,de,calcium
dent,d',ivoire
défense,d',ivoire
coquille,de,nacre
camée,de,coquille
intaille,de,pierre
gemme,de,pierre
cabochon,de,pierre
brillant,de,diamant
sertissure,d',or
monture,d',or
chaton,d',or
griffe,d',or
collier,de,perles
chapelet,de,bois
rosaire,de,bois
grain,de,bois
pendentif,de,cristal
médaillon,d',or
amulette,de,bronze
talisman,de,pierre
sceau,de,cire
cachet,de,cire
empreinte,de,cire
cire,de,cire
bougie,de,cire
chandelle,de,cire
cierge,de,cire
flambeau,de,cire
torche,de,résine
brandon,de,bois
tison,de,bois
bûche,de,chêne
charbon,de,bois
braise,de,charbon
cendre,de,bois
escarbille,de,charbon
poussier,de,charbon
houille,de,charbon
anthracite,de,charbon
lignite,de,charbon
tourbe,de,tourbe
amadou,de,champignon
allumette,de,bois
briquet,de,métal
silex,de,pierre
pierre,de,silex
fusil,d',acier
arquebuse,d',acier
mousquet,d',acier
pistolet,d',acier
revolver,d',acier
carabine,d',acier
fusil,de,bois
crosse,de,bois
fût,de,bois
canon,d',acier
culasse,d',acier
chargeur,d',acier
gâchette,d',acier
pontet,d',acier
détente,d',acier
percuteur,d',acier
ressort,d',acier
balle,de,plomb
projectile,de,plomb
boulet,de,fer
obus,d',acier
grenade,de,fer
bombe,d',acier
mine,d',acier
torpille,d',acier
missile,d',acier
roquette,d',acier
flèche,de,bois
trait,de,bois
dard,de,fer
carreau,de,fer
javeline,de,bois
javelot,de,bois
lance,de,bois
pique,de,bois
épieu,de,bois
dague,d',acier
poignard,d',acier
stylet,d',acier
kandjar,d',acier
kriss,d',acier
coutelas,d',acier
machette,d',acier
sabre,d',acier
cimeterre,d',acier
yatagan,d',acier
katana,d',acier
wakizashi,d',acier
tanto,d',acier
glaive,d',acier
épée,de,bronze
rapière,d',acier
fleuret,d',acier
espadon,d',acier
claymore,d',acier
coutille,d',acier
braquemart,d',acier
bancal,d',acier
cimeterre,de,fer
sabre,de,fer
hache,de,bronze
hachette,d',acier
tomahawk,de,fer
francisque,de,fer
bipenne,de,fer
doloire,de,fer
herminette,de,fer
cognée,de,fer
merlin,de,fer
masse,de,bronze
massue,de,pierre
matraque,de,bois
gourdin,de,chêne
trique,de,fer
bâton,de,fer
verge,de,fer
fouet,de,chanvre
knout,de,cuir
martinet,de,cuir
discipline,de,fer
flagellum,de,cuir
schlague,de,cuir
garcette,de,chanvre
corde,de,lin
câble,de,lin
cordage,de,lin
filin,de,lin
aussière,de,chanvre
grelin,de,chanvre
bitord,de,chanvre
lusin,de,chanvre
toron,de,chanvre
touline,de,chanvre
filin,de,coco
corde,de,coco
câble,de,coco
crin,de,crin
soie,de,soie
fil,de,soie
bobine,de,soie
écheveau,de,soie
pelote,de,laine
fil,de,laine
laine,de,laine
toison,de,laine
flocon,de,laine
brin,de,laine
boucle,de,laine
frisure,de,laine
cardage,de,laine
peigne,de,laine
fil,de,coton
coton,de,coton
ouate,de,coton
bourre,de,coton
kapok,de,kapok
duvet,de,plume
plume,de,plume
édredon,de,duvet
oreiller,de,duvet
coussin,de,kapok
traversin,de,plume
polochon,de,plume
matelas,de,crin
paillasse,de,paille
litière,de,paille
botte,de,paille
javelle,de,paille
glane,de,paille
gerbe,de,paille
meule,de,paille
gerbier,de,paille
pailler,de,paille
tas,de,foin
balle,de,paille
paille,de,paille
chaume,de,paille
éteule,de,paille
toit,de,paille
couverture,de,paille
toiture,de,paille
abri,de,paille
hutte,de,branchage
cahute,de,planches
baraque,de,planches
bicoque,de,planches
cabane,de,planches
cabanon,de,planches
guérite,de,planches
abri,de,planches
hangar,de,tôle
toit,de,tôle
couverture,de,tôle
toiture,de,zinc
gouttière,d',aluminium
chéneau,d',aluminium
descente,d',aluminium
tuyau,d',aluminium
conduit,d',aluminium
gaine,d',aluminium
tube,d',aluminium
profilé,d',aluminium
barre,d',aluminium
tige,d',aluminium
fil,d',aluminium
câble,d',aluminium
conducteur,de,cuivre
fil,de,laiton
tige,de,laiton
barre,de,laiton
tube,de,laiton
tuyau,de,laiton
robinet,de,bronze
vanne,de,bronze
valve,de,bronze
soupape,de,bronze
clapet,de,bronze
joint,de,caoutchouc
garniture,de,caoutchouc
bague,de,caoutchouc
rondelle,de,caoutchouc
joint,de,liège
bouchon,de,liège
tampon,de,liège
flotteur,de,liège
bouée,de,liège
gilet,de,liège
ceinture,de,liège
brassière,de,liège
boudin,de,caoutchouc
pneumatique,de,caoutchouc
chambre,de,caoutchouc
pneu,de,caoutchouc
boyau,de,caoutchouc
tuyau,de,caoutchouc
durite,de,caoutchouc
flexible,de,caoutchouc
courroie,de,caoutchouc
sangle,de,caoutchouc
élastique,de,caoutchouc
sandow,de,caoutchouc
tendeur,de,caoutchouc
ressort,de,caoutchouc
amortisseur,de,caoutchouc
tampon,de,caoutchouc
butée,de,caoutchouc
cale,de,caoutchouc
semelle,de,caoutchouc
talon,de,caoutchouc
patin,de,caoutchouc
gomme,de,caoutchouc
efface,de,caoutchouc
brosse,de,caoutchouc
raclette,de,caoutchouc
balai,de,caoutchouc
essuie-glace,de,caoutchouc
racloir,de,caoutchouc
spatule,de,caoutchouc
palette,de,bois
palette,de,plastique
caisse,de,plastique
bac,de,plastique
cuve,de,plastique
bidon,de,plastique
jerrican,de,plastique
bouteille,de,plastique
flacon,de,plastique
pot,de,plastique
gobelet,de,plastique
verre,de,plastique
assiette,de,plastique
plateau,de,plastique
bol,de,plastique
saladier,de,plastique
bassine,de,plastique
seau,de,plastique
cuvette,de,plastique
baquet,de,plastique
benne,de,plastique
poubelle,de,plastique
corbeille,de,plastique
panier,de,plastique
casier,de,plastique
caisse,de,carton
boîte,de,carton
carton,de,carton
emballage,de,carton
colis,de,carton
paquet,de,carton
enveloppe,de,papier
pochette,de,papier
sachet,de,papier
sac,de,papier
