A,determinant,B,type_relation
dégâts,du,vent,r_has_causatif
dégâts,de la,pluie,r_has_causatif
dégâts,du,soleil,r_has_causatif
dégâts,de la,neige,r_has_causatif
dégâts,du,gel,r_has_causatif
dégâts,de la,tempête,r_has_causatif
dégâts,d',orage,r_has_causatif
dégâts,de la,foudre,r_has_causatif
dégâts,du,séisme,r_has_causatif
dégâts,du,volcan,r_has_causatif
dégâts,du,feu,r_has_causatif
dégâts,du,moteur,r_has_causatif
dégâts,de la,machine,r_has_causatif
dégâts,d',usine,r_has_causatif
dégâts,du,choc,r_has_causatif
dégâts,d',impact,r_has_causatif
dégâts,de la,vitesse,r_has_causatif
dégâts,de la,pression,r_has_causatif
dégâts,du,poids,r_has_causatif
dégâts,de la,chaleur,r_has_causatif
traces,du,vent,r_has_causatif
traces,de la,pluie,r_has_causatif
traces,du,soleil,r_has_causatif
traces,de la,neige,r_has_causatif
traces,du,gel,r_has_causatif
traces,de la,tempête,r_has_causatif
traces,d',orage,r_has_causatif
traces,de la,foudre,r_has_causatif
traces,du,séisme,r_has_causatif
traces,du,volcan,r_has_causatif
traces,du,feu,r_has_causatif
traces,du,moteur,r_has_causatif
traces,de la,machine,r_has_causatif
traces,d',usine,r_has_causatif
traces,du,choc,r_has_causatif
traces,d',impact,r_has_causatif
traces,de la,vitesse,r_has_causatif
traces,de la,pression,r_has_causatif
traces,du,poids,r_has_causatif
traces,de la,chaleur,r_has_causatif
marques,du,vent,r_has_causatif
marques,de la,pluie,r_has_causatif
marques,du,soleil,r_has_causatif
marques,de la,neige,r_has_causatif
marques,du,gel,r_has_causatif
marques,de la,tempête,r_has_causatif
marques,d',orage,r_has_causatif
marques,de la,foudre,r_has_causatif
marques,du,séisme,r_has_causatif
marques,du,volcan,r_has_causatif
marques,du,feu,r_has_causatif
marques,du,moteur,r_has_causatif
marques,de la,machine,r_has_causatif
marques,d',usine,r_has_causatif
marques,du,choc,r_has_causatif
marques,d',impact,r_has_causatif
marques,de la,vitesse,r_has_causatif
marques,de la,pression,r_has_causatif
marques,du,poids,r_has_causatif
marques,de la,chaleur,r_has_causatif
bruits,du,vent,r_has_causatif
bruits,de la,pluie,r_has_causatif
bruits,du,moteur,r_has_causatif
bruits,de la,machine,r_has_causatif
bruits,d',usine,r_has_causatif
bruits,du,choc,r_has_causatif
bruits,du,travail,r_has_causatif
bruits,du,sport,r_has_causatif
bruits,de la,marche,r_has_causatif
bruits,de la,course,r_has_causatif
bruits,du,combat,r_has_causatif
bruits,de la,fête,r_has_causatif
bruits,du,hasard,r_has_causatif
bruits,du,cri,r_has_causatif
bruits,du,rire,r_has_causatif
bruits,de la,marée,r_has_causatif
bruits,du,cyclone,r_has_causatif
bruits,du,gaz,r_has_causatif
bruits,de la,vapeur,r_has_causatif
bruits,du,départ,r_has_causatif
odeurs,du,soleil,r_has_causatif
odeurs,du,feu,r_has_causatif
odeurs,de la,cuisine,r_has_causatif
odeurs,d',usine,r_has_causatif
odeurs,de la,chaleur,r_has_causatif
odeurs,du,froid,r_has_causatif
odeurs,du,poison,r_has_causatif
odeurs,de l',alcool,r_has_causatif
odeurs,du,tabac,r_has_causatif
odeurs,du,gaz,r_has_causatif
odeurs,de la,vapeur,r_has_causatif
odeurs,de la,fumée,r_has_causatif
odeurs,de la,poussière,r_has_causatif
odeurs,de la,boue,r_has_causatif
odeurs,de la,marée,r_has_causatif
fumée,du,feu,r_has_causatif
fumée,du,volcan,r_has_causatif
fumée,d',usine,r_has_causatif
fumée,du,moteur,r_has_causatif
fumée,du,tabac,r_has_causatif
fumée,du,combat,r_has_causatif
fumée,de la,guerre,r_has_causatif
fumée,du,gaz,r_has_causatif
chaleur,du,soleil,r_has_causatif
chaleur,du,feu,r_has_causatif
chaleur,du,moteur,r_has_causatif
chaleur,de la,machine,r_has_causatif
chaleur,d',usine,r_has_causatif
chaleur,du,travail,r_has_causatif
chaleur,de l',effort,r_has_causatif
chaleur,du,sport,r_has_causatif
chaleur,du,stress,r_has_causatif
chaleur,de la,fièvre,r_has_causatif
chaleur,du,cyclone,r_has_causatif
chaleur,de la,vapeur,r_has_causatif
froid,de la,neige,r_has_causatif
froid,du,gel,r_has_causatif
froid,du,vent,r_has_causatif
froid,de l',hiver,r_has_causatif
froid,de la,peur,r_has_causatif
froid,de la,mort,r_has_causatif
froid,de l',ombre,r_has_causatif
douleur,du,choc,r_has_causatif
douleur,d',impact,r_has_causatif
douleur,du,travail,r_has_causatif
douleur,de l',effort,r_has_causatif
douleur,du,sport,r_has_causatif
douleur,du,combat,r_has_causatif
douleur,de la,guerre,r_has_causatif
douleur,de l',accident,r_has_causatif
douleur,de la,maladie,r_has_causatif
douleur,du,poison,r_has_causatif
douleur,de la,chute,r_has_causatif
douleur,de la,blessure,r_has_causatif
douleur,de la,faim,r_has_causatif
douleur,de la,soif,r_has_causatif
douleur,de la,fessée,r_has_causatif
fatigue,du,travail,r_has_causatif
fatigue,de l',effort,r_has_causatif
fatigue,du,sport,r_has_causatif
fatigue,de la,marche,r_has_causatif
fatigue,de la,course,r_has_causatif
fatigue,de l',étude,r_has_causatif
fatigue,du,stress,r_has_causatif
fatigue,du,sommeil,r_has_causatif
fatigue,de la,maladie,r_has_causatif
fatigue,de la,vie,r_has_causatif
fatigue,de l',âge,r_has_causatif
peur,du,vent,r_has_causatif
peur,de la,tempête,r_has_causatif
peur,de l',orage,r_has_causatif
peur,de la,foudre,r_has_causatif
peur,du,séisme,r_has_causatif
peur,du,volcan,r_has_causatif
peur,du,feu,r_has_causatif
peur,du,noir,r_has_causatif
peur,du,virus,r_has_causatif
peur,du,poison,r_has_causatif
peur,de la,guerre,r_has_causatif
peur,du,combat,r_has_causatif
peur,de l',accident,r_has_causatif
peur,de la,crise,r_has_causatif
peur,de la,mort,r_has_causatif
joie,du,sport,r_has_causatif
joie,de l',étude,r_has_causatif
joie,du,succès,r_has_causatif
joie,du,gain,r_has_causatif
joie,de la,fête,r_has_causatif
joie,du,hasard,r_has_causatif
joie,de la,chance,r_has_causatif
joie,de l',amour,r_has_causatif
joie,de la,naissance,r_has_causatif
joie,de la,vie,r_has_causatif
cri,de la,peur,r_has_causatif
cri,de la,joie,r_has_causatif
cri,de la,haine,r_has_causatif
cri,de la,douleur,r_has_causatif
cri,du,combat,r_has_causatif
cri,de la,guerre,r_has_causatif
cri,de l',accident,r_has_causatif
cri,de la,chute,r_has_causatif
cri,de la,naissance,r_has_causatif
cri,du,sport,r_has_causatif
pleurs,de la,peur,r_has_causatif
pleurs,de la,douleur,r_has_causatif
pleurs,de la,haine,r_has_causatif
pleurs,de la,perte,r_has_causatif
pleurs,de l',échec,r_has_causatif
pleurs,de la,chute,r_has_causatif
pleurs,de la,fin,r_has_causatif
pleurs,de la,mort,r_has_causatif
pleurs,de la,naissance,r_has_causatif
rire,de la,joie,r_has_causatif
rire,de la,fête,r_has_causatif
rire,de l',erreur,r_has_causatif
rire,de la,faute,r_has_causatif
rire,du,hasard,r_has_causatif
rire,de la,chance,r_has_causatif
rire,de l',amour,r_has_causatif
rire,du,succès,r_has_causatif
rire,du,jeu,r_has_causatif
cendre,du,volcan,r_has_causatif
cendre,du,feu,r_has_causatif
cendre,du,tabac,r_has_causatif
cendre,d',usine,r_has_causatif
débris,du,séisme,r_has_causatif
débris,du,choc,r_has_causatif
débris,d',impact,r_has_causatif
débris,de l',accident,r_has_causatif
débris,de la,guerre,r_has_causatif
débris,du,combat,r_has_causatif
débris,de la,tempête,r_has_causatif
débris,de la,chute,r_has_causatif
ruine,du,séisme,r_has_causatif
ruine,du,volcan,r_has_causatif
ruine,du,feu,r_has_causatif
ruine,de la,guerre,r_has_causatif
ruine,de la,crise,r_has_causatif
ruine,de l',échec,r_has_causatif
ruine,du,temps,r_has_causatif
perte,du,match,r_has_causatif
perte,du,poids,r_has_causatif
perte,du,gain,r_has_causatif
perte,de la,guerre,r_has_causatif
perte,de la,crise,r_has_causatif
perte,de l',impôt,r_has_causatif
perte,du,hasard,r_has_causatif
perte,de l',accident,r_has_causatif
perte,de la,vie,r_has_causatif
gain,du,travail,r_has_causatif
gain,du,sport,r_has_causatif
gain,du,gain,r_has_causatif
gain,de la,hausse,r_has_causatif
gain,du,succès,r_has_causatif
gain,du,hasard,r_has_causatif
gain,de la,chance,r_has_causatif
gain,du,commerce,r_has_causatif
profit,du,travail,r_has_causatif
profit,de la,hausse,r_has_causatif
profit,du,succès,r_has_causatif
profit,de la,loi,r_has_causatif
profit,du,commerce,r_has_causatif
profit,de la,vente,r_has_causatif
hausse,de la,pression,r_has_causatif
hausse,de la,chaleur,r_has_causatif
hausse,de la,vitesse,r_has_causatif
hausse,de l',effort,r_has_causatif
hausse,du,stress,r_has_causatif
hausse,du,prix,r_has_causatif
hausse,du,coût,r_has_causatif
hausse,de la,demande,r_has_causatif
baisse,de la,pression,r_has_causatif
baisse,du,froid,r_has_causatif
baisse,de la,vitesse,r_has_causatif
baisse,de la,force,r_has_causatif
baisse,du,gain,r_has_causatif
baisse,du,prix,r_has_causatif
baisse,du,coût,r_has_causatif
baisse,de la,tension,r_has_causatif
ralentissement,du,vent,r_has_causatif
ralentissement,du,moteur,r_has_causatif
ralentissement,du,travail,r_has_causatif
ralentissement,de l',étude,r_has_causatif
ralentissement,du,stress,r_has_causatif
ralentissement,de la,crise,r_has_causatif
ralentissement,de l',âge,r_has_causatif
ralentissement,du,poids,r_has_causatif
accélération,du,vent,r_has_causatif
accélération,du,moteur,r_has_causatif
accélération,de la,vitesse,r_has_causatif
accélération,du,travail,r_has_causatif
accélération,du,sport,r_has_causatif
accélération,du,succès,r_has_causatif
accélération,du,hasard,r_has_causatif
arrêt,du,moteur,r_has_causatif
arrêt,de la,machine,r_has_causatif
arrêt,du,travail,r_has_causatif
arrêt,du,sport,r_has_causatif
arrêt,de la,marche,r_has_causatif
arrêt,de la,course,r_has_causatif
arrêt,de la,grève,r_has_causatif
arrêt,de la,loi,r_has_causatif
arrêt,de la,vie,r_has_causatif
arrêt,du,bus,r_has_causatif
départ,du,moteur,r_has_causatif
départ,du,travail,r_has_causatif
départ,du,sport,r_has_causatif
départ,de la,course,r_has_causatif
départ,de la,fête,r_has_causatif
départ,de la,vie,r_has_causatif
fin,de la,tempête,r_has_causatif
fin,de l',orage,r_has_causatif
fin,du,feu,r_has_causatif
