A,determinant,B,type_relation
château,de,Versailles,r_lieu
tour,de,Londres,r_lieu
basilique,du,Vatican,r_lieu
pyramide,d',Égypte,r_lieu
opéra,de,Paris,r_lieu
port,de,Marseille,r_lieu
phare,de,Brest,r_lieu
musée,du,Louvre,r_lieu
canal,de,Suez,r_lieu
sommet,de,l'Everest,r_lieu
désert,du,Sahara,r_lieu
fleuve,d',Amazonie,r_lieu
pont,d',Avignon,r_lieu
volcan,du,Vésuve,r_lieu
plage,de,Biarritz,r_lieu
forêt,d',Amazonie,r_lieu
palais,de,l'Élysée,r_lieu
arènes,de,Nîmes,r_lieu
cathédrale,de,Reims,r_lieu
vignoble,de,Bordeaux,r_lieu
stade,de,France,r_lieu
hôtel,de,ville,r_lieu
gare,de,Lyon,r_lieu
aéroport,d',Orly,r_lieu
port,de,Toulon,r_lieu
barrage,de,Roselend,r_lieu
fort,de,Boyard,r_lieu
abbaye,de,Sénanque,r_lieu
grotte,de,Lascaux,r_lieu
jardin,du,Luxembourg,r_lieu
place,de,l'Étoile,r_lieu
avenue,de,l'Opéra,r_lieu
quartier,de,Montmartre,r_lieu
colline,de,Fourvière,r_lieu
falaise,d',Étretat,r_lieu
glacier,du,Rhône,r_lieu
lac,de,Garde,r_lieu
archipel,de,Malte,r_lieu
île,de,Corse,r_lieu
massif,du,Jura,r_lieu
plaine,de,Beauce,r_lieu
plateau,de,Millevaches,r_lieu
bassin,d',Arcachon,r_lieu
baie,de,Somme,r_lieu
presqu'île,de,Guérande,r_lieu
estuaire,de,Gironde,r_lieu
delta,du,Nil,r_lieu
canyon,du,Verdon,r_lieu
cirque,de,Gavarnie,r_lieu
gouffre,de,Padirac,r_lieu
volcan,de,l'Etna,r_lieu
cratère,du,Ngorongoro,r_lieu
récif,d',Australie,r_lieu
abysse,de,l'océan,r_lieu
banquise,de,l'Arctique,r_lieu
toundra,de,Sibérie,r_lieu
steppe,de,Mongolie,r_lieu
jungle,de,Bornéo,r_lieu
savane,d',Afrique,r_lieu
oasis,de,Tozeur,r_lieu
pampa,d',Argentine,r_lieu
fjord,de,Norvège,r_lieu
lagune,de,Venise,r_lieu
atoll,de,Mururoa,r_lieu
îlot,de,verdure,r_lieu
sommet,de,montagne,r_lieu
flanc,de,colline,r_lieu
pied,de,falaise,r_lieu
bord,de,mer,r_lieu
rivage,de,l'Atlantique,r_lieu
littoral,de,Bretagne,r_lieu
ciel,de,Provence,r_lieu
soleil,d',Italie,r_lieu
glace,du,pôle,r_lieu
brume,de,mer,r_lieu
ville,de,Lyon,r_lieu
village,de,pêcheur,r_lieu
hameau,de,montagne,r_lieu
ferme,de,campagne,r_lieu
écurie,du,domaine,r_lieu
poulailler,de,ferme,r_lieu
potager,de,maison,r_lieu
fenêtre,de,chambre,r_lieu
couloir,de,bureau,r_lieu
salon,de,thé,r_lieu
cuisine,de,palace,r_lieu
chambre,de,bonne,r_lieu
terrasse,de,café,r_lieu
cour,d',honneur,r_lieu
square,de,quartier,r_lieu
parc,de,jeux,r_lieu
zoo,de,Vincennes,r_lieu
aquarium,de,Monaco,r_lieu
théâtre,de,ville,r_lieu
cinéma,de,quartier,r_lieu
librairie,de,vieux,r_lieu
école,de,danse,r_lieu
collège,de,banlieue,r_lieu
lycée,de,province,r_lieu
université,de,Sorbonne,r_lieu
faculté,de,droit,r_lieu
académie,de,musique,r_lieu
conservatoire,de,Lyon,r_lieu
atelier,d',artiste,r_lieu
galerie,de,peinture,r_lieu
studio,de,photo,r_lieu
usine,de,textile,r_lieu
mine,de,charbon,r_lieu
chantier,de,construction,r_lieu
bureau,de,poste,r_lieu
banque,de,France,r_lieu
caisse,d',épargne,r_lieu
bourse,de,Paris,r_lieu
prison,de,Fresnes,r_lieu
caserne,de,pompiers,r_lieu
hôpital,de,jour,r_lieu
clinique,de,repos,r_lieu
pharmacie,de,garde,r_lieu
église,du,village,r_lieu
mosquée,de,quartier,r_lieu
synagogue,de,ville,r_lieu
cimetière,de,campagne,r_lieu
fontaine,de la,place,r_lieu
réverbère,de,rue,r_lieu
route,de la,campagne,r_lieu
sentier,de la,forêt,r_lieu
piste,de,ski,r_lieu
quai,de la,gare,r_lieu
tunnel,de la,montagne,r_lieu
viaduc,de,Millau,r_lieu
digue,de,port,r_lieu
rade,de,Brest,r_lieu
golfe,de,Gascogne,r_lieu
mer,de,Chine,r_lieu
lac,d',Annecy,r_lieu
étang,de,pêche,r_lieu
marais,du,Poitevin,r_lieu
rivière,de,plaine,r_lieu
ruisseau,de la,forêt,r_lieu
source,d',eau,r_lieu
sapinière,de,montagne,r_lieu
chênaie,de,plaine,r_lieu
lande,de,bruyère,r_lieu
garrigue,de,Provence,r_lieu
maquis,de,Corse,r_lieu
savane,de,brousse,r_lieu
toundra,de,glace,r_lieu
désert,de,sel,r_lieu
dune,de,sable,r_lieu
rocher,de,mer,r_lieu
falaise,de,craie,r_lieu
grotte,de,stalactite,r_lieu
abîme,de,noirceur,r_lieu
sommet,de,gloire,r_lieu
cime,d',arbre,r_lieu
branche,de,chêne,r_lieu
mousse,de,forêt,r_lieu
lichen,de,pierre,r_lieu
pagode,de,Chine,r_lieu
temple,d',Angkor,r_lieu
palais,du,Radjah,r_lieu
harem,de,sultan,r_lieu
souk,de,Marrakech,r_lieu
marché,de,Provence,r_lieu
foire,de,Lyon,r_lieu
salon,de,l'auto,r_lieu
expo,de,peinture,r_lieu
musée,de,l'Homme,r_lieu
théâtre,de,l'Odéon,r_lieu
opéra,de,Vienne,r_lieu
arène,de,Lutèce,r_lieu
forum,de,Rome,r_lieu
théâtre,d',Épidaure,r_lieu
stade,d',Olympie,r_lieu
parthénon,d',Athènes,r_lieu
acropole,de,Grèce,r_lieu
colisée,de,Rome,r_lieu
pétra,de,Jordanie,r_lieu
temple,de,Louxor,r_lieu
pyramide,de,Gizeh,r_lieu
sphinx,d',Égypte,r_lieu
muraille,de,Chine,r_lieu
temple,du,Ciel,r_lieu
cité,d',Angkor,r_lieu
statue,de,Liberté,r_lieu
tour,d',Eiffel,r_lieu
arc,de,Triomphe,r_lieu
musée,du,Louvre,r_lieu
château,du,Vatican,r_lieu
palais,de,Buckingham,r_lieu
château,de,Kremlin,r_lieu
capitole,de,Washington,r_lieu
pentagone,d',Amérique,r_lieu
pôle,du,Nord,r_lieu
tropique,du,Cancer,r_lieu
méridien,de,Greenwich,r_lieu
Antarctique,du,Sud,r_lieu
Sibérie,de,Russie,r_lieu
Alaska,d',Amérique,r_lieu
Sahara,d',Afrique,r_lieu
Gobi,de,Chine,r_lieu
Atacama,du,Chili,r_lieu
Victoria,d',Australie,r_lieu
Amazonie,du,Brésil,r_lieu
Congo,d',Afrique,r_lieu
Mékong,de,Thaïlande,r_lieu
Danube,d',Europe,r_lieu
Rhin,de,l'Est,r_lieu
Rhône,de,France,r_lieu
Loire,de,France,r_lieu
Seine,de,Paris,r_lieu
Tamise,de,Londres,r_lieu
Tibre,de,Rome,r_lieu
Douro,du,Portugal,r_lieu
Tage,d',Espagne,r_lieu
Ebre,d',Espagne,r_lieu
Po,d',Italie,r_lieu
Voldga,de,Russie,r_lieu
Don,de,Russie,r_lieu
Oural,de,Russie,r_lieu
Gange,d',Inde,r_lieu
Indus,du,Pakistan,r_lieu
Euphrate,de,Syrie,r_lieu
Jourdain,d',Israël,r_lieu
Nil,d',Égypte,r_lieu
Zambèze,d',Afrique,r_lieu
Mississippi,d',Amérique,r_lieu
Missouri,d',Amérique,r_lieu
Hudson,de,New-York,r_lieu
Yukon,du,Canada,r_lieu
Saint-laurent,du,Canada,r_lieu
Rio,de,Janeiro,r_lieu
Buenos,d',Aires,r_lieu
Lima,du,Pérou,r_lieu
Bogota,de,Colombie,r_lieu
Caracas,du,Venezuela,r_lieu
Quito,de,l'Équateur,r_lieu
La,de,Paz,r_lieu
Santiago,du,Chili,r_lieu
Tokyo,du,Japon,r_lieu
Pékin,de,Chine,r_lieu
Seoul,de,Corée,r_lieu
Manille,des,Philippines,r_lieu
Bangkok,de,Thaïlande,r_lieu
Hanoi,du,Vietnam,r_lieu
Djaka,de,l'Indonésie,r_lieu
Singapour,d',Asie,r_lieu
Dehli,d',Inde,r_lieu
Bombay,d',Inde,r_lieu
Karachi,du,Pakistan,r_lieu
Bagdad,d',Irak,r_lieu
Riyad,d',Arabie,r_lieu
Dubai,des,Émirats,r_lieu
Mascate,d',Oman,r_lieu
Aden,du,Yémen,r_lieu
Beyrouth,du,Liban,r_lieu
Damas,de,Syrie,r_lieu
Amman,de,Jordanie,r_lieu
Jerusalem,d',Israël,r_lieu
Istanbul,de,Turquie,r_lieu
Ankara,de,Turquie,r_lieu
Athenes,de,Grèce,r_lieu
Sofia,de,Bulgarie,r_lieu
Bucarest,de,Roumanie,r_lieu
Belgrade,de,Serbie,r_lieu
Zagreb,de,Croatie,r_lieu
Sarajevo,de,Bosnie,r_lieu
Tirana,d',Albanie,r_lieu
Rome,d',Italie,r_lieu
Milan,d',Italie,r_lieu
Naples,d',Italie,r_lieu
Venise,d',Italie,r_lieu
Florence,d',Italie,r_lieu
Madrid,d',Espagne,r_lieu
Barcelone,d',Espagne,r_lieu
Seville,d',Espagne,r_lieu
Lisbonne,du,Portugal,r_lieu
Porto,du,Portugal,r_lieu
Paris,de,France,r_lieu
Lyon,de,France,r_lieu
Marseille,de,France,r_lieu
Bordeaux,de,France,r_lieu
Lille,de,France,r_lieu
Strasbourg,de,France,r_lieu
Nantes,de,France,r_lieu
Toulouse,de,France,r_lieu
Nice,de,France,r_lieu
Londres,d',Angleterre,r_lieu
Manchester,d',Angleterre,r_lieu
Birmingham,d',Angleterre,r_lieu
Glasgow,d',Écosse,r_lieu
Dublin,d',Irlande,r_lieu
Bruxelles,de,Belgique,r_lieu
Anvers,de,Belgique,r_lieu
Amsterdam,des,Pays-Bas,r_lieu
Rotterdam,des,Pays-Bas,r_lieu
Luxembourg,du,Luxembourg,r_lieu
Berne,de,Suisse,r_lieu
Zurich,de,Suisse,r_lieu
Geneve,de,Suisse,r_lieu
Vienne,d',Autriche,r_lieu
Berlin,d',Allemagne,r_lieu
Munich,d',Allemagne,r_lieu
Hambourg,d',Allemagne,r_lieu
Francfort,d',Allemagne,r_lieu
Prague,de,Tchéquie,r_lieu
Varsovie,de,Pologne,r_lieu
Copenhague,du,Danemark,r_lieu
Oslo,de,Norvège,r_lieu
Stockholm,de,Suède,r_lieu
Helsinki,de,Finlande,r_lieu
Reykjavik,d',Islande,r_lieu
Moscou,de,Russie,r_lieu
Kiev,d',Ukraine,r_lieu
Minsk,de,Biélorussie,r_lieu
Riga,de,Lettonie,r_lieu
Tallinn,d',Estonie,r_lieu
Vilnius,de,Lituanie,r_lieu
Tbilissi,de,Géorgie,r_lieu
Erevan,d',Arménie,r_lieu
Bakou,d',Azerbaïdjan,r_lieu
Astana,du,Kazakhstan,r_lieu
Tachkent,d',Ouzbékistan,r_lieu
Achgabat,du,Turkménistan,r_lieu
Douchanbe,du,Tadjikistan,r_lieu
Bichkek,du,Kirghizistan,r_lieu
Oulan-bator,de,Mongolie,r_lieu
Alger,d',Algérie,r_lieu
Oran,d',Algérie,r_lieu
Rabat,du,Maroc,r_lieu
Tunis,de,Tunisie,r_lieu
Tripoli,de,Libye,r_lieu
Khartoum,du,Soudan,r_lieu
Djibouti,de,Djibouti,r_lieu
Mogadiscio,de,Somalie,r_lieu
Nairobi,du,Kenya,r_lieu
Kampala,de,l'Ouganda,r_lieu
Kigali,du,Rwanda,r_lieu
Bujumbura,du,Burundi,r_lieu
Daressalaam,de,Tanzanie,r_lieu
Lusaka,de,Zambie,r_lieu
Harare,du,Zimbabwe,r_lieu
Maputo,du,Mozambique,r_lieu
Pretoria,d',Afrique,r_lieu
Luanda,d',Angola,r_lieu
Kinshasa,du,Congo,r_lieu
Libreville,du,Gabon,r_lieu
Yaounde,du,Cameroun,r_lieu
Ndjamena,du,Tchad,r_lieu
Niamey,du,Niger,r_lieu
Bamako,du,Mali,r_lieu
Nouakchott,de,Mauritanie,r_lieu
Dakar,du,Sénégal,r_lieu
Banjul,de,Gambie,r_lieu
Conakry,de,Guinée,r_lieu
Freetown,de,Sierra-Leone,r_lieu
Monrovia,du,Liberia,r_lieu
Abidjan,de,Côte-d'Ivoire,r_lieu
Accra,du,Ghana,r_lieu
Lome,du,Togo,r_lieu
Cotonou,du,Bénin,r_lieu
Lagos,du,Nigeria,r_lieu
Antananarivo,de,Madagascar,r_lieu
Port-louis,de,Maurice,r_lieu
Victoria,des,Seychelles,r_lieu
Moroni,des,Comores,r_lieu
Ottawa,du,Canada,r_lieu
Montreal,du,Canada,r_lieu
Toronto,du,Canada,r_lieu
Vancouver,du,Canada,r_lieu
Washington,d',Amérique,r_lieu
New-york,d',Amérique,r_lieu
Chicago,d',Amérique,r_lieu
Los,d',Angeles,r_lieu
Houston,d',Amérique,r_lieu
Miami,d',Amérique,r_lieu
Mexico,du,Mexique,r_lieu
Havane,de,Cuba,r_lieu
Kingston,de,Jamaïque,r_lieu
Panama,du,Panama,r_lieu
Bogota,de,Colombie,r_lieu
Caracas,du,Venezuela,r_lieu
Quito,de,l'Équateur,r_lieu
Lima,du,Pérou,r_lieu
Asuncion,du,Paraguay,r_lieu
Montevideo,de,l'Uruguay,r_lieu
Buenos,d',Aires,r_lieu
Santiago,du,Chili,r_lieu
Brasilia,du,Brésil,r_lieu
Rio,du,Brésil,r_lieu
Canberra,d',Australie,r_lieu
Sydney,d',Australie,r_lieu
Melbourne,d',Australie,r_lieu
Perth,d',Australie,r_lieu
Brisbane,d',Australie,r_lieu
Wellington,de,Nouvelle-Zélande,r_lieu
Suva,des,Fidji,r_lieu
Port-moresby,de,Guinée,r_lieu
Honiara,des,Salomon,r_lieu
Palikir,de,Micronésie,r_lieu
Tarawa,de,Kiribati,r_lieu
Majuro,des,Marshall,r_lieu
Nauru,de,Nauru,r_lieu
Funafuti,de,Tuvalu,r_lieu
Nuku'alofa,des,Tonga,r_lieu
Apia,des,Samoa,r_lieu
port,de,Marseille,r_lieu
gare,de,Lyon,r_lieu
stade,de,France,r_lieu
universite,de,Strasbourg,r_lieu
musee,du,Prado,r_lieu
canal,du,Midi,r_lieu
viaduc,de,Millau,r_lieu
phare,d',Ouessant,r_lieu
abbaye,du,Mont,r_lieu
grotte,de,Chauvet,r_lieu
parc,de la,Villette,r_lieu
jardin,des,Tuileries,r_lieu
place,de la,Concorde,r_lieu
palais,de,Justice,r_lieu
tour,de,Pise,r_lieu
basilique,de,Lisieux,r_lieu
cathedrale,de,Chartres,r_lieu
arene,de,Verone,r_lieu
forum,de,Rome,r_lieu
temple,d',Artemis,r_lieu
mur,de,Berlin,r_lieu
pont,du,Gard,r_lieu
theatre,du,Chatelet,r_lieu
opera,de,Bastille,r_lieu
gymnase,de,banlieue,r_lieu
marche,de,Noël,r_lieu
foire,du,Trône,r_lieu
ecole,de,musique,r_lieu
bureau,de,vote,r_lieu
maison,de,retraite,r_lieu
centre,de,soins,r_lieu
hopital,de,Paris,r_lieu
stade,de,foot,r_lieu
piste,de,danse,r_lieu
salle,de,classe,r_lieu
chambre,d',amis,r_lieu
bureau,du,directeur,r_lieu
cuisine,du,chef,r_lieu
salon,du,livre,r_lieu
cave,de,vigneron,r_lieu
grenier,de,papy,r_lieu
garage,de,maison,r_lieu
jardin,du,voisin,r_lieu
potager,du,grand-père,r_lieu
foret,de,Brocéliande,r_lieu
bois,de,Vincennes,r_lieu
lac,du,Léman,r_lieu
mer,de,Glace,r_lieu
vallee,de,l'Isère,r_lieu
montagne,de,Reims,r_lieu
colline,du,Cracken,r_lieu
falaise,de,Fécamp,r_lieu
plage,du,Prado,r_lieu
dune,du,Pilat,r_lieu
ile,de,Ré,r_lieu
ile,d',Oléron,r_lieu
ile,de,Noirmoutier,r_lieu
baie,de,Quiberon,r_lieu
golfe,du,Morbihan,r_lieu
rade,de,Cherbourg,r_lieu
bassin,de,Thau,r_lieu
etang,de,Berre,r_lieu
canal,de,Nantes,r_lieu
fleuve,du,Nil,r_lieu
riviere,d',Ain,r_lieu
torrent,du,Fier,r_lieu
cascade,du,Hérisson,r_lieu
source,de la,Loue,r_lieu
grotte,de,Niaux,r_lieu
gouffre,de,l'Œil,r_lieu
volcan,de la,Soufrière,r_lieu
piton,de la,Fournaise,r_lieu
cirque,de,Mafate,r_lieu
sommet,du,Mont-Blanc,r_lieu
aiguille,du,Midi,r_lieu
breche,de,Roland,r_lieu
pas,de la,Case,r_lieu
col,du,Galibier,r_lieu
tunnel,du,Fréjus,r_lieu
barrage,de,Tignes,r_lieu
centrale,de,Fessenheim,r_lieu
usine,de,Renault,r_lieu
chantier,du,siècle,r_lieu
prison,de la,Santé,r_lieu
camp,de,vacances,r_lieu
village,de,toile,r_lieu
base,de,loisirs,r_lieu
port,de,plaisance,r_lieu
aeroport,de,Roissy,r_lieu
gare,du,Nord,r_lieu
station,de,métro,r_lieu
arret,de,bus,r_lieu
borne,de,recharge,r_lieu
parking,de,centre,r_lieu
rue,de,Rivoli,r_lieu
boulevard,de,Magenta,r_lieu
avenue,de,Foch,r_lieu
quai,d',Orsay,r_lieu
pont,de,l'Alma,r_lieu
square,du,Temple,r_lieu
parc,de,Monceau,r_lieu
bois,de,Boulogne,r_lieu
jardin,des,Plantes,r_lieu
zoo,de,Beauval,r_lieu
aquarium,de,Brest,r_lieu
musee,d',Orsay,r_lieu
galerie,de,l'Évolution,r_lieu
chateau,de,Blois,r_lieu
palais,des,Papes,r_lieu
citadelle,de,Besançon,r_lieu
fort,de la,Pompelle,r_lieu
tour,de,l'Horloge,r_lieu
beffroi,de,Lille,r_lieu
eglise,de la,Madeleine,r_lieu
prieure,de,Serrabone,r_lieu
cloitre,de,Moissac,r_lieu
chapelle,de,Ronchamp,r_lieu
mosquee,de,Paris,r_lieu
synagogue,de la,Victoire,r_lieu
temple,de,l'Amour,r_lieu
mausolee,de,Lénine,r_lieu
pyramide,du,Louvre,r_lieu
colonne,de,Vendôme,r_lieu
obelisque,de,Louxor,r_lieu
fontaine,de,Trévi,r_lieu
pont,de,Rialto,r_lieu
grand,du,Canal,r_lieu
place,de,Saint-Marc,r_lieu
basilique,de,Saint-Pierre,r_lieu
mur,des,Lamentations,r_lieu
dome,du,Rocher,r_lieu
saint,de,Sépulcre,r_lieu
mont,des,Oliviers,r_lieu
lac,de,Tibériade,r_lieu
mer,de,Galilée,r_lieu
golfe,d',Aqaba,r_lieu
desert,du,Neguev,r_lieu
plateau,du,Golan,r_lieu
vallee,du,Jourdain,r_lieu
mont,de,Sinaï,r_lieu
canal,de,Panama,r_lieu
cap,de,Bonne-Espérance,r_lieu
detroit,de,Gibraltar,r_lieu
mer,du,Nord,r_lieu
mer,de,Manche,r_lieu
ocean,de,l'Atlantique,r_lieu
ocean,du,Pacifique,r_lieu
ocean,de,l'Antarctique,r_lieu
ocean,de,l'Arctique,r_lieu
mer,des,Caraïbes,r_lieu
mer,de,Tasmanie,r_lieu
mer,de,Bering,r_lieu
mer,d',Okhotsk,r_lieu
mer,du,Japon,r_lieu
mer,de,Java,r_lieu
mer,de,Corail,r_lieu
mer,de,Ross,r_lieu
mer,de,Weddell,r_lieu
mer,de,Sargasses,r_lieu
baie,d',Hudson,r_lieu
baie,de,Baffin,r_lieu
baie,de,Bengale,r_lieu
golfe,du,Mexique,r_lieu
golfe,de,Guinée,r_lieu
golfe,du,Bengale,r_lieu
golfe,d',Aden,r_lieu
golfe,de,Finlande,r_lieu
golfe,de,Botnie,r_lieu
lac,de,Constance,r_lieu
lac,de,Genève,r_lieu
lac,de,Neuchâtel,r_lieu
lac,de,Côme,r_lieu
lac,de,Majeur,r_lieu
lac,de,Garde,r_lieu
lac,de,Van,r_lieu
lac,de,Sevan,r_lieu
lac,de,Baïkal,r_lieu
lac,de,Balkhach,r_lieu
lac,de,Tchad,r_lieu
lac,de,Victoria,r_lieu
lac,de,Tanganyika,r_lieu
lac,de,Malawi,r_lieu
lac,de,Supérieur,r_lieu
lac,de,Michigan,r_lieu
lac,de,Huron,r_lieu
lac,de,Erié,r_lieu
lac,de,Ontario,r_lieu
lac,de,Titicaca,r_lieu
fleuve,du,Niger,r_lieu
fleuve,du,Sénégal,r_lieu
fleuve,du,Congo,r_lieu
fleuve,de,l'Orange,r_lieu
fleuve,du,Limpopo,r_lieu
fleuve,du,Zambèze,r_lieu
fleuve,du,Nil,r_lieu
fleuve,du,Tigre,r_lieu
fleuve,de,l'Euphrate,r_lieu
fleuve,de,l'Indus,r_lieu
fleuve,du,Gange,r_lieu
fleuve,de,l'Irrawaddy,r_lieu
fleuve,du,Mékong,r_lieu
fleuve,de,l'Amour,r_lieu
fleuve,de la,Lena,r_lieu
fleuve,de,l'Ienisseï,r_lieu
fleuve,de,l'Ob,r_lieu
fleuve,du,Volga,r_lieu
fleuve,du,Danube,r_lieu
fleuve,du,Rhin,r_lieu
fleuve,de,l'Elbe,r_lieu
fleuve,de la,Vistule,r_lieu
fleuve,du,Tage,r_lieu
fleuve,de,l'Ebre,r_lieu
fleuve,du,Po,r_lieu
fleuve,du,Rhône,r_lieu
fleuve,de la,Loire,r_lieu
fleuve,de la,Seine,r_lieu
fleuve,de la,Garonne,r_lieu
fleuve,du,Mississippi,r_lieu
fleuve,du,Missouri,r_lieu
fleuve,du,Colorado,r_lieu
fleuve,du,Columbia,r_lieu
fleuve,du,Yukon,r_lieu
fleuve,du,Mackenzie,r_lieu
fleuve,du,Saint-Laurent,r_lieu
fleuve,de,l'Amazone,r_lieu
fleuve,du,Parana,r_lieu
fleuve,de,l'Uruguay,r_lieu
fleuve,de,l'Orénoque,r_lieu
fleuve,de la,Magdalena,r_lieu
fleuve,de la,Murray,r_lieu
fleuve,du,Darling,r_lieu
mont,de,l'Everest,r_lieu
mont,du,K2,r_lieu
mont,du,Kangchenjunga,r_lieu
mont,du,Lhotse,r_lieu
mont,du,Makalu,r_lieu
mont,du,Cho-Oyu,r_lieu
mont,du,Dhaulagiri,r_lieu
mont,du,Manaslu,r_lieu
mont,du,Nanga-Parbat,r_lieu
mont,de,l'Annapurna,r_lieu
mont,du,Gasherbrum,r_lieu
mont,du,Broad-Peak,r_lieu
mont,du,Shishapangma,r_lieu
mont,du,Blanc,r_lieu
mont,de,l'Elbrouz,r_lieu
mont,du,Kilimandjaro,r_lieu
mont,du,Kenya,r_lieu
mont,du,Stanley,r_lieu
mont,du,McKinley,r_lieu
mont,du,Logan,r_lieu
mont,du,Popocatepetl,r_lieu
mont,de,l'Aconcagua,r_lieu
