Unnamed: 0,A,determinant,B,type_relation
174,monastère,de,pierre,r_objet>matière
892,tanto,d',acier,r_objet>matière
650,turban,de,soie,r_objet>matière
224,halle,de,pierre,r_objet>matière
42,hache,d',acier,r_objet>matière
1145,décor,d',or,r_objet>matière
324,fil,de,chanvre,r_objet>matière
215,bergerie,de,pierre,r_objet>matière
843,pierre,de,silex,r_objet>matière
816,amulette,de,bronze,r_objet>matière
161,rempart,de,pierre,r_objet>matière
1203,palme,d',or,r_objet>matière
472,panneau,de,bois,r_objet>matière
197,rampe,de,bois,r_objet>matière
236,four,de,pierre,r_objet>matière
299,barrage,de,béton,r_objet>matière
487,jouet,de,bois,r_objet>matière
523,houssine,d',osier,r_objet>matière
427,poutre,de,chêne,r_objet>matière
355,sommier,de,bois,r_objet>matière
805,brillant,de,diamant,r_objet>matière
297,quai,de,pierre,r_objet>matière
129,tabernacle,d',or,r_objet>matière
844,fusil,d',acier,r_objet>matière
214,écurie,de,pierre,r_objet>matière
1046,ressort,de,caoutchouc,r_objet>matière
33,trompette,de,cuivre,r_objet>matière
1169,chapeau,de,fleurs,r_objet>matière
456,gerbe,de,blé,r_objet>matière
862,projectile,de,plomb,r_objet>matière
1209,ganse,de,soie,r_objet>matière
187,boiserie,de,chêne,r_objet>matière
445,terre,d',argile,r_objet>matière
955,fil,de,coton,r_objet>matière
1322,hotte,de,bambou,r_objet>matière
125,crucifix,d',argent,r_objet>matière
1122,escarcelle,de,cuir,r_objet>matière
966,polochon,de,plume,r_objet>matière
1234,quartier,de,cuir,r_objet>matière
1227,ouatinage,de,coton,r_objet>matière
1217,gland,d',or,r_objet>matière
353,couette,de,plume,r_objet>matière
1210,cordon,d',or,r_objet>matière
851,crosse,de,bois,r_objet>matière
996,couverture,de,tôle,r_objet>matière
703,barre,d',acier,r_objet>matière
181,voûte,de,brique,r_objet>matière
1281,cabas,de,jonc,r_objet>matière
759,fibule,de,bronze,r_objet>matière
196,contremarche,de,bois,r_objet>matière
242,marmite,de,fonte,r_objet>matière
988,baraque,de,planches,r_objet>matière
599,clochette,de,cuivre,r_objet>matière
234,bucher,de,bois,r_objet>matière
941,soie,de,soie,r_objet>matière
875,javeline,de,bois,r_objet>matière
919,verge,de,fer,r_objet>matière
612,ustensile,de,bois,r_objet>matière
407,mas,de,pierre,r_objet>matière
1132,couverture,de,cuir,r_objet>matière
1063,palette,de,plastique,r_objet>matière
1223,rembourrage,de,laine,r_objet>matière
953,cardage,de,laine,r_objet>matière
284,citerne,de,pierre,r_objet>matière
65,bougeoir,d',argent,r_objet>matière
110,cruche,d',argile,r_objet>matière
989,bicoque,de,planches,r_objet>matière
878,pique,de,bois,r_objet>matière
301,quai,de,béton,r_objet>matière
131,bénitier,de,marbre,r_objet>matière
905,hachette,d',acier,r_objet>matière
53,dalle,de,granit,r_objet>matière
960,duvet,de,plume,r_objet>matière
798,dent,d',ivoire,r_objet>matière
387,cabane,de,toile,r_objet>matière
310,port,de,pierre,r_objet>matière
1121,porte-monnaie,de,cuir,r_objet>matière
583,poignée,de,fer,r_objet>matière
366,méridienne,de,bois,r_objet>matière
777,bracelet,de,cuir,r_objet>matière
15,médaille,de,bronze,r_objet>matière
968,paillasse,de,paille,r_objet>matière
857,pontet,d',acier,r_objet>matière
513,rondelle,de,caoutchouc,r_objet>matière
462,tronc,de,bois,r_objet>matière
74,vasque,de,bronze,r_objet>matière
168,palais,de,marbre,r_objet>matière
298,digue,de,pierre,r_objet>matière
1028,flotteur,de,liège,r_objet>matière
370,chaise,de,fer,r_objet>matière
1326,fauteuil,de,bambou,r_objet>matière
1022,garniture,de,caoutchouc,r_objet>matière
1078,bassine,de,plastique,r_objet>matière
1189,affiche,de,papier,r_objet>matière
171,église,de,pierre,r_objet>matière
230,grenier,de,bois,r_objet>matière
1297,piquet,de,bambou,r_objet>matière
766,bouton,de,nacre,r_objet>matière
266,cuvette,de,porcelaine,r_objet>matière
482,tournerie,de,bois,r_objet>matière
606,longe,de,cuir,r_objet>matière
1048,tampon,de,caoutchouc,r_objet>matière
1199,décoration,d',or,r_objet>matière
1338,vitrine,de,verre,r_objet>matière
830,charbon,de,bois,r_objet>matière
1305,poutre,de,bambou,r_objet>matière
1027,tampon,de,liège,r_objet>matière
1037,boyau,de,caoutchouc,r_objet>matière
594,tam-tam,de,bronze,r_objet>matière
1045,tendeur,de,caoutchouc,r_objet>matière
1109,baluchon,de,toile,r_objet>matière
531,pertuisane,de,fer,r_objet>matière
682,blason,d',acier,r_objet>matière
1334,tablette,de,bois,r_objet>matière
135,stèle,de,granit,r_objet>matière
665,veste,de,feutre,r_objet>matière
608,guide,de,cuir,r_objet>matière
1206,cocarde,de,soie,r_objet>matière
1021,joint,de,caoutchouc,r_objet>matière
273,drain,de,terre,r_objet>matière
1146,motif,d',or,r_objet>matière
66,lampe,de,cuivre,r_objet>matière
88,tabouret,de,bois,r_objet>matière
39,casque,d',acier,r_objet>matière
1328,table,de,bambou,r_objet>matière
978,balle,de,paille,r_objet>matière
1174,banderole,de,papier,r_objet>matière
367,bergère,de,bois,r_objet>matière
410,longère,de,pierre,r_objet>matière
447,clayonnage,d',osier,r_objet>matière
477,placage,de,bois,r_objet>matière
37,épée,d',acier,r_objet>matière
455,ballot,de,foin,r_objet>matière
45,chaîne,de,fer,r_objet>matière
828,tison,de,bois,r_objet>matière
56,brique,d',argile,r_objet>matière
1130,housse,de,cuir,r_objet>matière
150,colonne,de,granit,r_objet>matière
1320,panier,de,bambou,r_objet>matière
544,grattoir,de,fer,r_objet>matière
1154,entrelacs,d',or,r_objet>matière
1277,panier,de,jonc,r_objet>matière
1273,casier,d',osier,r_objet>matière
96,armoire,de,chêne,r_objet>matière
327,bâche,de,toile,r_objet>matière
95,meuble,de,bois,r_objet>matière
108,pot,d',argile,r_objet>matière
707,moufle,de,laine,r_objet>matière
432,arbalétrier,de,bois,r_objet>matière
451,litière,de,paille,r_objet>matière
1225,matelassure,de,laine,r_objet>matière
863,boulet,de,fer,r_objet>matière
408,ferme,de,pierre,r_objet>matière
882,stylet,d',acier,r_objet>matière
1361,tabouret,de,fer,r_objet>matière
434,poinçon,de,bois,r_objet>matière
957,ouate,de,coton,r_objet>matière
1356,estrade,de,bois,r_objet>matière
858,détente,d',acier,r_objet>matière
1219,houppe,de,laine,r_objet>matière
175,cloître,de,pierre,r_objet>matière
881,poignard,d',acier,r_objet>matière
449,canisse,de,roseau,r_objet>matière
1237,voûte,de,cuir,r_objet>matière
1324,lit,de,bambou,r_objet>matière
1343,crédence,de,chêne,r_objet>matière
503,bille,de,verre,r_objet>matière
549,fourche,de,fer,r_objet>matière
1087,caisse,de,carton,r_objet>matière
1007,tige,d',aluminium,r_objet>matière
917,trique,de,fer,r_objet>matière
189,plinthe,de,bois,r_objet>matière
1250,passant,de,cuir,r_objet>matière
666,bicorne,de,feutre,r_objet>matière
595,cymbale,de,bronze,r_objet>matière
64,chandelier,de,bronze,r_objet>matière
545,raclette,de,fer,r_objet>matière
1140,filet,d',or,r_objet>matière
245,poêle,de,fer,r_objet>matière
577,paumelle,de,fer,r_objet>matière
453,botte,de,foin,r_objet>matière
1137,coiffe,de,cuir,r_objet>matière
208,cabane,de,bois,r_objet>matière
720,chaussure,de,cuir,r_objet>matière
644,couronne,d',or,r_objet>matière
860,ressort,d',acier,r_objet>matière
412,demeure,de,pierre,r_objet>matière
974,meule,de,paille,r_objet>matière
250,bassine,de,cuivre,r_objet>matière
506,diabolo,de,bois,r_objet>matière
542,binette,de,fer,r_objet>matière
1072,gobelet,de,plastique,r_objet>matière
281,margelle,de,pierre,r_objet>matière
687,cervelière,de,fer,r_objet>matière
1341,buffet,de,noyer,r_objet>matière
909,doloire,de,fer,r_objet>matière
294,passerelle,de,bois,r_objet>matière
210,abri,de,bois,r_objet>matière
459,rondin,de,bois,r_objet>matière
206,tonnelle,de,bois,r_objet>matière
877,lance,de,bois,r_objet>matière
492,domino,d',os,r_objet>matière
332,tenture,de,soie,r_objet>matière
868,torpille,d',acier,r_objet>matière
116,gobelet,d',étain,r_objet>matière
573,targette,de,fer,r_objet>matière
144,bas-relief,de,marbre,r_objet>matière
394,case,de,bois,r_objet>matière
1349,piédestal,de,marbre,r_objet>matière
615,attelage,de,bois,r_objet>matière
1350,piédouche,de,marbre,r_objet>matière
782,alliance,d',or,r_objet>matière
164,bastion,de,pierre,r_objet>matière
363,banquette,de,cuir,r_objet>matière
493,pion,de,bois,r_objet>matière
770,œillet,de,laiton,r_objet>matière
959,kapok,de,kapok,r_objet>matière
1159,blason,d',or,r_objet>matière
1065,bac,de,plastique,r_objet>matière
774,attache,d',or,r_objet>matière
921,knout,de,cuir,r_objet>matière
1288,natte,de,raphia,r_objet>matière
771,ferret,de,métal,r_objet>matière
911,cognée,de,fer,r_objet>matière
872,trait,de,bois,r_objet>matière
335,carpette,de,laine,r_objet>matière
972,glane,de,paille,r_objet>matière
466,latte,de,sapin,r_objet>matière
376,pliant,de,toile,r_objet>matière
1213,galon,d',or,r_objet>matière
589,carillon,de,bronze,r_objet>matière
146,fresque,de,plâtre,r_objet>matière
19,bouton,de,nacre,r_objet>matière
1346,console,de,marbre,r_objet>matière
886,machette,d',acier,r_objet>matière
534,vouге,de,fer,r_objet>matière
1111,valise,de,cuir,r_objet>matière
866,bombe,d',acier,r_objet>matière
244,casserole,de,cuivre,r_objet>matière
402,manoir,de,pierre,r_objet>matière
965,traversin,de,plume,r_objet>matière
837,lignite,de,charbon,r_objet>matière
1230,entoilage,de,toile,r_objet>matière
1309,panneau,de,bambou,r_objet>matière
934,lusin,de,chanvre,r_objet>matière
1311,mur,de,bambou,r_objet>matière
226,bazar,de,bois,r_objet>matière
1026,bouchon,de,liège,r_objet>matière
510,cochonnet,de,bois,r_objet>matière
648,bandeau,d',or,r_objet>matière
460,bille,de,bois,r_objet>matière
311,môle,de,pierre,r_objet>matière
681,bassine,d',acier,r_objet>matière
1220,touffe,de,laine,r_objet>matière
417,toit,de,chaume,r_objet>matière
1120,bourse,de,cuir,r_objet>matière
1362,escabeau,d',acier,r_objet>matière
680,heaume,de,fer,r_objet>matière
815,médaillon,d',or,r_objet>matière
548,griffe,de,fer,r_objet>matière
1098,pochette,de,toile,r_objet>matière
6,table,de,marbre,r_objet>matière
379,chilienne,de,toile,r_objet>matière
61,miroir,de,verre,r_objet>matière
551,râteau,de,fer,r_objet>matière
471,contreplaqué,de,bois,r_objet>matière
330,store,de,toile,r_objet>matière
1002,conduit,d',aluminium,r_objet>matière
26,tuyau,de,plomb,r_objet>matière
207,kiosque,de,bois,r_objet>matière
212,grange,de,bois,r_objet>matière
271,canalisation,de,plomb,r_objet>matière
718,botte,de,cuir,r_objet>matière
398,masure,de,pierre,r_objet>matière
223,échoppe,de,bois,r_objet>matière
695,banc,de,fer,r_objet>matière
740,botte,de,caoutchouc,r_objet>matière
969,litière,de,paille,r_objet>matière
1149,rinceau,d',or,r_objet>matière
1089,carton,de,carton,r_objet>matière
1294,tuteur,de,bambou,r_objet>matière
50,escalier,de,pierre,r_objet>matière
92,chaise,de,bois,r_objet>matière
1329,meuble,de,bambou,r_objet>matière
307,chantier,de,bois,r_objet>matière
536,serpe,de,fer,r_objet>matière
