A,determinant,B,type_relation
fusil,du,soldat,r_own-1
vélo,du,cycliste,r_own-1
épée,du,chevalier,r_own-1
couronne,du,roi,r_own-1
sceptre,du,monarque,r_own-1
tiare,du,pape,r_own-1
crosse,d',évêque,r_own-1
habit,du,moine,r_own-1
voile,de,nonne,r_own-1
robe,d',avocat,r_own-1
toque,du,juge,r_own-1
uniforme,du,policier,r_own-1
insigne,du,shérif,r_own-1
casque,du,pompier,r_own-1
blouse,du,médecin,r_own-1
scalpel,du,chirurgien,r_own-1
stéthoscope,d',infirmier,r_own-1
thermomètre,du,patient,r_own-1
mallette,du,docteur,r_own-1
sac,d',écolier,r_own-1
plumier,d',élève,r_own-1
cartable,d',enfant,r_own-1
livre,du,lecteur,r_own-1
manuscrit,d',auteur,r_own-1
pinceau,d',artiste,r_own-1
palette,du,peintre,r_own-1
ciseau,du,sculpteur,r_own-1
enclume,du,forgeron,r_own-1
marteau,d',artisan,r_own-1
rabot,du,menuisier,r_own-1
truelle,du,maçon,r_own-1
scie,du,bûcheron,r_own-1
hache,du,forestier,r_own-1
filet,du,pêcheur,r_own-1
canne,du,pêcheur,r_own-1
fusil,du,chasseur,r_own-1
arc,d',archer,r_own-1
flèche,du,tireur,r_own-1
cible,du,archer,r_own-1
fouet,du,cocher,r_own-1
rêne,du,cavalier,r_own-1
selle,du,écuyer,r_own-1
étrier,du,jockey,r_own-1
mors,du,cheval,r_own-1
licol,d',âne,r_own-1
collier,du,chien,r_own-1
panier,du,chat,r_own-1
cage,d',oiseau,r_own-1
ruche,d',apiculteur,r_own-1
troupeau,du,berger,r_own-1
chien,du,pâtre,r_own-1
houlette,du,pastoureau,r_own-1
charrue,du,laboureur,r_own-1
faux,du,faucheur,r_own-1
faucille,du,moissonneur,r_own-1
fourche,du,fermier,r_own-1
rateau,du,jardinier,r_own-1
pelle,du,terrassier,r_own-1
pioche,du,mineur,r_own-1
lampe,d',ouvrier,r_own-1
établi,d',artisan,r_own-1
étal,du,marchand,r_own-1
comptoir,du,épicier,r_own-1
caisse,du,caissier,r_own-1
balance,du,peson,r_own-1
mesure,du,géomètre,r_own-1
compas,d',architecte,r_own-1
règle,du,dessinateur,r_own-1
équerre,du,maçon,r_own-1
niveau,d',expert,r_own-1
fil,d',aplomb,r_own-1
clavier,d',informaticien,r_own-1
souris,du,joueur,r_own-1
écran,du,spectateur,r_own-1
micro,du,chanteur,r_own-1
violon,du,musicien,r_own-1
piano,du,pianiste,r_own-1
flûte,du,musicien,r_own-1
trompette,du,joueur,r_own-1
tambour,du,batteur,r_own-1
baguette,du,chef,r_own-1
partition,du,maestro,r_own-1
pupitre,du,musicien,r_own-1
lyre,du,poète,r_own-1
plume,d',écrivain,r_own-1
encrier,d',auteur,r_own-1
écritoire,du,scribe,r_own-1
parchemin,du,copiste,r_own-1
sceau,du,seigneur,r_own-1
blason,de,famille,r_own-1
château,du,noble,r_own-1
donjon,du,vassal,r_own-1
fief,du,suzerain,r_own-1
terre,du,paysan,r_own-1
ferme,du,exploitant,r_own-1
grange,du,fermier,r_own-1
