A,determinant,B,type_relation
accélération,de,pilote,r_processus_agent
accouchement,d',obstétricien,r_processus_agent
achat,de,consommateur,r_processus_agent
adhésion,de,membre,r_processus_agent
administration,de,gérant,r_processus_agent
agression,d',assaillant,r_processus_agent
allégement,de,technicien,r_processus_agent
allumage,d',artificier,r_processus_agent
amerrissage,d',aviateur,r_processus_agent
amputation,de,chirurgien,r_processus_agent
analyse,de,chimiste,r_processus_agent
anéantissement,de,vainqueur,r_processus_agent
annonce,de,crieur,r_processus_agent
annulation,d',organisateur,r_processus_agent
aperçu,d',observateur,r_processus_agent
appel,de,standardiste,r_processus_agent
apprentissage,d',apprenti,r_processus_agent
arbitrage,de,médiateur,r_processus_agent
arrosage,de,jardinier,r_processus_agent
ascension,d',alpiniste,r_processus_agent
aspiration,de,nettoyeur,r_processus_agent
assassinat,de,tueur,r_processus_agent
assemblage,d',ajusteur,r_processus_agent
asservissement,de,tyran,r_processus_agent
assiette,de,percepteur,r_processus_agent
assommoir,de,bourreau,r_processus_agent
atterrissage,de,commandant,r_processus_agent
audition,de,juge,r_processus_agent
autopsie,de,légiste,r_processus_agent
avancée,d',explorateur,r_processus_agent
avortement,de,médecin,r_processus_agent
balayage,de,balayeur,r_processus_agent
baptême,de,prêtre,r_processus_agent
barrage,de,sentinelle,r_processus_agent
basculement,d',acrobate,r_processus_agent
bataille,de,soldat,r_processus_agent
battement,de,tambour,r_processus_agent
bâtissage,de,maçon,r_processus_agent
bavardage,de,écolier,r_processus_agent
bénédiction,de,pape,r_processus_agent
berçage,de,nourrice,r_processus_agent
biseautage,de,vitrier,r_processus_agent
blâme,de,supérieur,r_processus_agent
blessure,d',adversaire,r_processus_agent
blocage,de,gréviste,r_processus_agent
bombardement,d',aviateur,r_processus_agent
bond,d',athlète,r_processus_agent
bouleversement,de,novateur,r_processus_agent
bourdonnement,d',abeille,r_processus_agent
boursicotage,de,trader,r_processus_agent
boycottage,de,militant,r_processus_agent
braconnage,de,chasseur,r_processus_agent
braquage,de,bandit,r_processus_agent
brassage,de,brasseur,r_processus_agent
bricolage,d',amateur,r_processus_agent
brillance,de,étoile,r_processus_agent
brûlage,d',agriculteur,r_processus_agent
cabotage,de,marin,r_processus_agent
cadre,de,cinéaste,r_processus_agent
calcul,de,comptable,r_processus_agent
calomnie,de,rival,r_processus_agent
camouflage,d',espion,r_processus_agent
campagne,de,candidat,r_processus_agent
captage,de,sourcier,r_processus_agent
capture,de,gendarme,r_processus_agent
caresse,d',amant,r_processus_agent
caricature,de,dessinateur,r_processus_agent
carottage,de,géologue,r_processus_agent
cassage,d',ouvrier,r_processus_agent
cautionnement,de,garant,r_processus_agent
célébration,d',officiant,r_processus_agent
censure,de,censeur,r_processus_agent
chantage,d',escroc,r_processus_agent
chantier,de,bâtisseur,r_processus_agent
chargement,de,docker,r_processus_agent
chasse,de,veneur,r_processus_agent
châtiment,de,juge,r_processus_agent
chevauchée,de,cavalier,r_processus_agent
chinage,d',antiquaire,r_processus_agent
chirurgie,de,spécialiste,r_processus_agent
chuchotement,de,conspirateur,r_processus_agent
chute,de,cascadeur,r_processus_agent
clabaudage,de,médisant,r_processus_agent
clignotement,de,phare,r_processus_agent
clouage,de,charpentier,r_processus_agent
codage,de,programmeur,r_processus_agent
cognée,de,bûcheron,r_processus_agent
coiffage,de,coiffeur,r_processus_agent
collecte,de,éboueur,r_processus_agent
collision,de,conducteur,r_processus_agent
colportage,de,vendeur,r_processus_agent
combat,de,boxeur,r_processus_agent
commande,d',acheteur,r_processus_agent
commémoration,de,maire,r_processus_agent
comparaison,d',expert,r_processus_agent
comportement,d',acteur,r_processus_agent
composition,de,musicien,r_processus_agent
comptage,de,scrutateur,r_processus_agent
conception,d',ingénieur,r_processus_agent
concours,de,candidat,r_processus_agent
condamnation,de,magistrat,r_processus_agent
conduite,de,chauffeur,r_processus_agent
confection,de,tailleur,r_processus_agent
confession,de,pénitent,r_processus_agent
confiscation,de,douanier,r_processus_agent
connaissance,de,érudit,r_processus_agent
conquête,de,guerrier,r_processus_agent
conseil,d',avocat,r_processus_agent
consommation,de,client,r_processus_agent
consultation,d',expert,r_processus_agent
contestation,d',opposant,r_processus_agent
contrôle,d',inspecteur,r_processus_agent
conversion,de,fidèle,r_processus_agent
convocation,d',officier,r_processus_agent
copie,de,faussaire,r_processus_agent
correction,d',instituteur,r_processus_agent
