A,determinant,B,type_relation
clé,d',ouverture,r_processus>instr-1
clé,de,porte,r_processus>instr-1
marteau,de,frappe,r_processus>instr-1
marteau,de,clou,r_processus>instr-1
scie,de,coupe,r_processus>instr-1
scie,de,bois,r_processus>instr-1
pince,de,serrage,r_processus>instr-1
pince,de,fil,r_processus>instr-1
tournevis,de,montage,r_processus>instr-1
tournevis,de,vis,r_processus>instr-1
pelle,de,creusage,r_processus>instr-1
pelle,de,terre,r_processus>instr-1
pioche,de,terrassement,r_processus>instr-1
pioche,de,caillou,r_processus>instr-1
hache,de,fente,r_processus>instr-1
hache,de,bûche,r_processus>instr-1
aiguille,de,couture,r_processus>instr-1
aiguille,de,tissu,r_processus>instr-1
pinceau,de,peinture,r_processus>instr-1
pinceau,de,toile,r_processus>instr-1
brosse,de,nettoyage,r_processus>instr-1
brosse,de,chaussure,r_processus>instr-1
balai,de,balayage,r_processus>instr-1
balai,de,sol,r_processus>instr-1
ciseau,de,taille,r_processus>instr-1
ciseau,de,pierre,r_processus>instr-1
scalpel,d',incision,r_processus>instr-1
scalpel,de,chair,r_processus>instr-1
stéthoscope,d',auscultation,r_processus>instr-1
stéthoscope,de,patient,r_processus>instr-1
crayon,de,dessin,r_processus>instr-1
crayon,de,papier,r_processus>instr-1
plume,d',écriture,r_processus>instr-1
plume,de,parchemin,r_processus>instr-1
fusil,de,chasse,r_processus>instr-1
épée,de,combat,r_processus>instr-1
canne,de,pêche,r_processus>instr-1
canne,de,poisson,r_processus>instr-1
filet,de,capture,r_processus>instr-1
filet,de,truite,r_processus>instr-1
arc,de,tir,r_processus>instr-1
arc,de,cible,r_processus>instr-1
gourde,d',hydratation,r_processus>instr-1
gourde,de,coureur,r_processus>instr-1
boussole,d',orientation,r_processus>instr-1
boussole,de,voyageur,r_processus>instr-1
montre,de,mesure,r_processus>instr-1
montre,de,temps,r_processus>instr-1
balance,de,pesée,r_processus>instr-1
balance,de,farine,r_processus>instr-1
mètre,de,mesurage,r_processus>instr-1
mètre,de,tissu,r_processus>instr-1
thermomètre,de,mesure,r_processus>instr-1
thermomètre,de,fièvre,r_processus>instr-1
clé,de,serrage,r_processus>instr-1
clé,d',écrou,r_processus>instr-1
marteau,de,forge,r_processus>instr-1
marteau,d',enclume,r_processus>instr-1
rabot,de,lissage,r_processus>instr-1
rabot,de,planche,r_processus>instr-1
lime,d',ébarbage,r_processus>instr-1
lime,de,métal,r_processus>instr-1
perceuse,de,perçage,r_processus>instr-1
perceuse,de,mur,r_processus>instr-1
foret,de,perçage,r_processus>instr-1
foret,d',acier,r_processus>instr-1
clou,de,fixation,r_processus>instr-1
clou,de,charpente,r_processus>instr-1
vis,d',assemblage,r_processus>instr-1
vis,de,meuble,r_processus>instr-1
colle,d',adhésion,r_processus>instr-1
colle,de,papier,r_processus>instr-1
ruban,de,masquage,r_processus>instr-1
ruban,de,peinture,r_processus>instr-1
agrafeuse,d',assemblage,r_processus>instr-1
agrafeuse,de,feuille,r_processus>instr-1
trombone,de,maintien,r_processus>instr-1
trombone,de,dossier,r_processus>instr-1
gomme,d',effaçage,r_processus>instr-1
gomme,de,crayon,r_processus>instr-1
taille-crayon,d',affûtage,r_processus>instr-1
taille-crayon,de,mine,r_processus>instr-1
règle,de,traçage,r_processus>instr-1
règle,de,ligne,r_processus>instr-1
équerre,de,mesure,r_processus>instr-1
équerre,d',angle,r_processus>instr-1
compas,de,tracé,r_processus>instr-1
compas,de,cercle,r_processus>instr-1
loupe,d',agrandissement,r_processus>instr-1
loupe,d',objet,r_processus>instr-1
télescope,d',observation,r_processus>instr-1
télescope,d',étoile,r_processus>instr-1
microscope,d',observation,r_processus>instr-1
microscope,de,cellule,r_processus>instr-1
appareil,de,photo,r_processus>instr-1
appareil,d',image,r_processus>instr-1
caméra,de,tournage,r_processus>instr-1
caméra,de,film,r_processus>instr-1
micro,d',enregistrement,r_processus>instr-1
micro,de,voix,r_processus>instr-1
haut-parleur,de,diffusion,r_processus>instr-1
haut-parleur,de,son,r_processus>instr-1
casque,d',écoute,r_processus>instr-1
casque,de,musique,r_processus>instr-1
lampe,d',éclairage,r_processus>instr-1
lampe,de,pièce,r_processus>instr-1
bougie,d',éclairage,r_processus>instr-1
bougie,de,veille,r_processus>instr-1
briquet,d',allumage,r_processus>instr-1
briquet,de,cigare,r_processus>instr-1
allumette,d',allumage,r_processus>instr-1
allumette,de,feu,r_processus>instr-1
four,de,cuisson,r_processus>instr-1
four,de,pain,r_processus>instr-1
marmite,de,cuisson,r_processus>instr-1
marmite,de,soupe,r_processus>instr-1
poêle,de,cuisson,r_processus>instr-1
poêle,d',oeuf,r_processus>instr-1
