A,determinant,B,type_relation
tableau,de,Van Gogh,r_product_of
gâteau,du,pâtissier,r_product_of
lait,de la,vache,r_product_of
soupe,de,maman,r_product_of
pain,du,boulanger,r_product_of
fromage,du,fermier,r_product_of
vin,du,vigneron,r_product_of
bière,du,brasseur,r_product_of
miel,de l',abeille,r_product_of
œuf,de la,poule,r_product_of
laine,du,mouton,r_product_of
soie,du,ver,r_product_of
cire,de l',abeille,r_product_of
perle,de l',huître,r_product_of
cuir,de la,vache,r_product_of
fourrure,du,renard,r_product_of
plume,de l',oie,r_product_of
duvet,du,canard,r_product_of
venin,du,serpent,r_product_of
encre,de la,pieuvre,r_product_of
parfum,du,parfumeur,r_product_of
sculpture,du,sculpteur,r_product_of
poème,du,poète,r_product_of
roman,de l',écrivain,r_product_of
chanson,du,chanteur,r_product_of
symphonie,du,compositeur,r_product_of
film,du,réalisateur,r_product_of
photographie,du,photographe,r_product_of
dessin,du,dessinateur,r_product_of
peinture,du,peintre,r_product_of
gravure,du,graveur,r_product_of
fresque,du,fresquiste,r_product_of
mosaïque,du,mosaïste,r_product_of
tapisserie,du,tapissier,r_product_of
broderie,de la,brodeuse,r_product_of
dentelle,de la,dentellière,r_product_of
tricot,de la,tricoteuse,r_product_of
poterie,du,potier,r_product_of
céramique,du,céramiste,r_product_of
porcelaine,du,porcelainier,r_product_of
faïence,du,faïencier,r_product_of
verre,du,verrier,r_product_of
cristal,du,cristallier,r_product_of
vitrail,du,verrier,r_product_of
forge,du,forgeron,r_product_of
ferronnerie,du,ferronnier,r_product_of
serrurerie,du,serrurier,r_product_of
menuiserie,du,menuisier,r_product_of
ébénisterie,de l',ébéniste,r_product_of
charpente,du,charpentier,r_product_of
maçonnerie,du,maçon,r_product_of
plâtrerie,du,plâtrier,r_product_of
couverture,du,couvreur,r_product_of
toiture,du,couvreur,r_product_of
vitrage,du,vitrier,r_product_of
plomberie,du,plombier,r_product_of
bijou,du,bijoutier,r_product_of
orfèvrerie,de l',orfèvre,r_product_of
joaillerie,du,joaillier,r_product_of
horlogerie,de l',horloger,r_product_of
montre,de l',horloger,r_product_of
pendule,de l',horloger,r_product_of
mécanisme,de l',horloger,r_product_of
vêtement,du,tailleur,r_product_of
costume,du,tailleur,r_product_of
robe,de la,couturière,r_product_of
manteau,du,tailleur,r_product_of
chemise,de la,chemisière,r_product_of
chapeau,du,chapelier,r_product_of
chaussure,du,cordonnier,r_product_of
botte,du,bottier,r_product_of
soulier,du,cordonnier,r_product_of
selle,du,sellier,r_product_of
harnais,du,bourrelier,r_product_of
maroquinerie,du,maroquinier,r_product_of
sac,du,maroquinier,r_product_of
ceinture,du,maroquinier,r_product_of
gant,du,gantier,r_product_of
livre,de l',auteur,r_product_of
article,du,journaliste,r_product_of
reportage,du,reporter,r_product_of
plan,de l',architecte,r_product_of
maquette,de l',architecte,r_product_of
schéma,de l',ingénieur,r_product_of
invention,de l',inventeur,r_product_of
découverte,du,chercheur,r_product_of
théorie,du,scientifique,r_product_of
formule,du,mathématicien,r_product_of
diagnostic,du,médecin,r_product_of
ordonnance,du,médecin,r_product_of
prescription,du,médecin,r_product_of
soin,de l',infirmière,r_product_of
réparation,du,mécanicien,r_product_of
confection,du,confiseur,r_product_of
pâtisserie,du,pâtissier,r_product_of
viennoiserie,du,boulanger,r_product_of
croissant,du,boulanger,r_product_of
brioche,du,boulanger,r_product_of
éclair,du,pâtissier,r_product_of
macaron,du,pâtissier,r_product_of
tarte,du,pâtissier,r_product_of
gâteau,du,boulanger,r_product_of
biscuit,du,biscuitier,r_product_of
bonbon,du,confiseur,r_product_of
chocolat,du,chocolatier,r_product_of
praline,du,chocolatier,r_product_of
truffe,du,chocolatier,r_product_of
caramel,du,confiseur,r_product_of
nougat,du,confiseur,r_product_of
dragée,du,confiseur,r_product_of
sucre,du,sucrier,r_product_of
sirop,du,confiseur,r_product_of
confiture,du,confiturier,r_product_of
marmelade,du,confiturier,r_product_of
gelée,du,confiturier,r_product_of
compote,du,confiturier,r_product_of
conserve,du,conserveur,r_product_of
bocal,du,conserveur,r_product_of
saumure,du,saumurier,r_product_of
marinade,du,cuisinier,r_product_of
sauce,du,cuisinier,r_product_of
bouillon,du,cuisinier,r_product_of
fond,du,cuisinier,r_product_of
jus,du,cuisinier,r_product_of
roux,du,cuisinier,r_product_of
béchamel,du,cuisinier,r_product_of
velouté,du,cuisinier,r_product_of
consommé,du,cuisinier,r_product_of
potage,du,cuisinier,r_product_of
crème,du,cuisinier,r_product_of
mousse,du,cuisinier,r_product_of
flan,du,cuisinier,r_product_of
crème,du,crémier,r_product_of
beurre,du,crémier,r_product_of
yaourt,du,crémier,r_product_of
fromage,du,fromager,r_product_of
tome,du,fromager,r_product_of
tomme,du,fromager,r_product_of
cantal,du,fromager,r_product_of
comté,du,fromager,r_product_of
gruyère,du,fromager,r_product_of
emmental,du,fromager,r_product_of
camembert,du,fromager,r_product_of
brie,du,fromager,r_product_of
roquefort,du,fromager,r_product_of
bleu,du,fromager,r_product_of
chèvre,du,fromager,r_product_of
crottin,du,fromager,r_product_of
caillé,du,fromager,r_product_of
présure,du,fromager,r_product_of
caillage,du,fromager,r_product_of
affinage,du,fromager,r_product_of
meule,du,fromager,r_product_of
tomme,du,fermier,r_product_of
lait,de la,chèvre,r_product_of
lait,de la,brebis,r_product_of
lait,de la,jument,r_product_of
lait,de l',ânesse,r_product_of
crème,de la,vache,r_product_of
beurre,de la,vache,r_product_of
babeurre,de la,vache,r_product_of
petit-lait,de la,vache,r_product_of
lactosérum,de la,vache,r_product_of
caillé,de la,vache,r_product_of
fromage,de la,chèvre,r_product_of
fromage,de la,brebis,r_product_of
viande,du,boucher,r_product_of
steak,du,boucher,r_product_of
côte,du,boucher,r_product_of
entrecôte,du,boucher,r_product_of
filet,du,boucher,r_product_of
rôti,du,boucher,r_product_of
gigot,du,boucher,r_product_of
épaule,du,boucher,r_product_of
poitrine,du,boucher,r_product_of
jarret,du,boucher,r_product_of
collier,du,boucher,r_product_of
échine,du,boucher,r_product_of
côtelette,du,boucher,r_product_of
escalope,du,boucher,r_product_of
pavé,du,boucher,r_product_of
tournedos,du,boucher,r_product_of
chateaubriand,du,boucher,r_product_of
rumsteck,du,boucher,r_product_of
faux-filet,du,boucher,r_product_of
bavette,du,boucher,r_product_of
onglet,du,boucher,r_product_of
hampe,du,boucher,r_product_of
araignée,du,boucher,r_product_of
poire,du,boucher,r_product_of
merlan,du,boucher,r_product_of
saucisse,du,charcutier,r_product_of
saucisson,du,charcutier,r_product_of
boudin,du,charcutier,r_product_of
andouille,du,charcutier,r_product_of
andouillette,du,charcutier,r_product_of
pâté,du,charcutier,r_product_of
terrine,du,charcutier,r_product_of
rillettes,du,charcutier,r_product_of
rillons,du,charcutier,r_product_of
jambon,du,charcutier,r_product_of
lard,du,charcutier,r_product_of
bacon,du,charcutier,r_product_of
poitrine,du,charcutier,r_product_of
travers,du,charcutier,r_product_of
échine,du,charcutier,r_product_of
palette,du,charcutier,r_product_of
jambonneau,du,charcutier,r_product_of
jarret,du,charcutier,r_product_of
pie,du,charcutier,r_product_of
museau,du,charcutier,r_product_of
fromage,du,charcutier,r_product_of
ballottine,du,charcutier,r_product_of
galantine,du,charcutier,r_product_of
cervelas,du,charcutier,r_product_of
mortadelle,du,charcutier,r_product_of
salami,du,charcutier,r_product_of
rosette,du,charcutier,r_product_of
saucisson,du,saucissier,r_product_of
merguez,du,boucher,r_product_of
chipolata,du,boucher,r_product_of
volaille,du,volailler,r_product_of
poulet,du,fermier,r_product_of
poule,du,fermier,r_product_of
coq,du,fermier,r_product_of
chapon,du,fermier,r_product_of
poularde,du,fermier,r_product_of
coquelet,du,fermier,r_product_of
canard,du,fermier,r_product_of
caneton,du,fermier,r_product_of
oie,de l',éleveur,r_product_of
dinde,du,fermier,r_product_of
dindon,du,fermier,r_product_of
pintade,du,fermier,r_product_of
pigeon,de l',éleveur,r_product_of
caille,de l',éleveur,r_product_of
faisan,de l',éleveur,r_product_of
perdrix,de l',éleveur,r_product_of
lapin,de l',éleveur,r_product_of
lièvre,du,chasseur,r_product_of
chevreuil,du,chasseur,r_product_of
sanglier,du,chasseur,r_product_of
cerf,du,chasseur,r_product_of
biche,du,chasseur,r_product_of
daim,du,chasseur,r_product_of
gibier,du,chasseur,r_product_of
venaison,du,chasseur,r_product_of
peau,de la,bête,r_product_of
fourrure,de la,bête,r_product_of
poisson,du,pêcheur,r_product_of
truite,du,pêcheur,r_product_of
saumon,du,pêcheur,r_product_of
brochet,du,pêcheur,r_product_of
carpe,du,pêcheur,r_product_of
perche,du,pêcheur,r_product_of
tanche,du,pêcheur,r_product_of
anguille,du,pêcheur,r_product_of
thon,du,pêcheur,r_product_of
sardine,du,pêcheur,r_product_of
maquereau,du,pêcheur,r_product_of
hareng,du,pêcheur,r_product_of
morue,du,pêcheur,r_product_of
cabillaud,du,pêcheur,r_product_of
merlu,du,pêcheur,r_product_of
sole,du,pêcheur,r_product_of
turbot,du,pêcheur,r_product_of
barbue,du,pêcheur,r_product_of
raie,du,pêcheur,r_product_of
lotte,du,pêcheur,r_product_of
rouget,du,pêcheur,r_product_of
daurade,du,pêcheur,r_product_of
bar,du,pêcheur,r_product_of
lieu,du,pêcheur,r_product_of
colin,du,pêcheur,r_product_of
églefin,du,pêcheur,r_product_of
aiglefin,du,pêcheur,r_product_of
limande,du,pêcheur,r_product_of
plie,du,pêcheur,r_product_of
carrelet,du,pêcheur,r_product_of
flétan,du,pêcheur,r_product_of
espadon,du,pêcheur,r_product_of
roussette,du,pêcheur,r_product_of
squale,du,pêcheur,r_product_of
requin,du,pêcheur,r_product_of
lamproie,du,pêcheur,r_product_of
congre,du,pêcheur,r_product_of
murène,du,pêcheur,r_product_of
crevette,du,pêcheur,r_product_of
gambas,du,pêcheur,r_product_of
langoustine,du,pêcheur,r_product_of
homard,du,pêcheur,r_product_of
langouste,du,pêcheur,r_product_of
crabe,du,pêcheur,r_product_of
tourteau,du,pêcheur,r_product_of
araignée,du,pêcheur,r_product_of
étrille,du,pêcheur,r_product_of
huître,de l',ostréiculteur,r_product_of
moule,du,mytiliculteur,r_product_of
coquille,du,pêcheur,r_product_of
praire,du,pêcheur,r_product_of
palourde,du,pêcheur,r_product_of
clam,du,pêcheur,r_product_of
coque,du,pêcheur,r_product_of
couteau,du,pêcheur,r_product_of
pétoncle,du,pêcheur,r_product_of
vanasse,du,pêcheur,r_product_of
bulot,du,pêcheur,r_product_of
bigorneau,du,pêcheur,r_product_of
escargot,de l',héliciculteur,r_product_of
grenouille,du,ranaculteur,r_product_of
caviar,de l',esturgeon,r_product_of
œuf,de l',esturgeon,r_product_of
œufs,de la,truite,r_product_of
œufs,du,saumon,r_product_of
laitance,du,poisson,r_product_of
algue,du,cultivateur,r_product_of
varech,du,cultivateur,r_product_of
