A,determinant,B,type_relation
avocat,d',une femme,r_social_tie
chef,du,groupe,r_social_tie
médecin,du,garçon,r_social_tie
professeur,de la,classe,r_social_tie
directeur,de l',école,r_social_tie
maire,de la,ville,r_social_tie
président,du,pays,r_social_tie
ministre,du,gouvernement,r_social_tie
député,de la,circonscription,r_social_tie
sénateur,de la,région,r_social_tie
conseiller,de la,municipalité,r_social_tie
juge,du,tribunal,r_social_tie
procureur,de la,république,r_social_tie
avocat,de l',accusé,r_social_tie
notaire,de la,famille,r_social_tie
huissier,du,tribunal,r_social_tie
greffier,de la,cour,r_social_tie
commissaire,du,quartier,r_social_tie
inspecteur,de l',enquête,r_social_tie
agent,du,secteur,r_social_tie
gardien,de la,prison,r_social_tie
surveillant,du,lycée,r_social_tie
proviseur,du,lycée,r_social_tie
principal,du,collège,r_social_tie
recteur,de l',académie,r_social_tie
inspecteur,de l',éducation,r_social_tie
enseignant,de l',école,r_social_tie
instituteur,de la,classe,r_social_tie
maître,des,élèves,r_social_tie
professeur,des,étudiants,r_social_tie
tuteur,de l',enfant,r_social_tie
précepteur,du,prince,r_social_tie
gouvernante,des,enfants,r_social_tie
nourrice,du,bébé,r_social_tie
baby-sitter,de la,famille,r_social_tie
éducateur,des,jeunes,r_social_tie
moniteur,du,camp,r_social_tie
entraîneur,de l',équipe,r_social_tie
coach,du,sportif,r_social_tie
capitaine,de l',équipe,r_social_tie
chef,de la,brigade,r_social_tie
commandant,du,bataillon,r_social_tie
colonel,du,régiment,r_social_tie
général,de l',armée,r_social_tie
amiral,de la,flotte,r_social_tie
capitaine,du,navire,r_social_tie
commandant,de l',avion,r_social_tie
pilote,de l',appareil,r_social_tie
contrôleur,du,vol,r_social_tie
steward,des,passagers,r_social_tie
hôtesse,du,vol,r_social_tie
guide,du,groupe,r_social_tie
accompagnateur,des,touristes,r_social_tie
gardien,du,musée,r_social_tie
conservateur,du,musée,r_social_tie
bibliothécaire,de la,bibliothèque,r_social_tie
archiviste,des,archives,r_social_tie
documentaliste,du,centre,r_social_tie
secrétaire,du,directeur,r_social_tie
assistant,du,professeur,r_social_tie
aide,du,chirurgien,r_social_tie
infirmière,du,patient,r_social_tie
aide-soignant,du,malade,r_social_tie
kinésithérapeute,du,blessé,r_social_tie
psychologue,du,patient,r_social_tie
psychiatre,du,malade,r_social_tie
thérapeute,du,patient,r_social_tie
pharmacien,du,quartier,r_social_tie
dentiste,du,patient,r_social_tie
vétérinaire,de l',animal,r_social_tie
éleveur,du,troupeau,r_social_tie
berger,des,moutons,r_social_tie
gardien,du,troupeau,r_social_tie
palefrenier,des,chevaux,r_social_tie
dresseur,du,chien,r_social_tie
maître,de l',animal,r_social_tie
propriétaire,du,chien,r_social_tie
jardinier,du,parc,r_social_tie
gardien,de l',immeuble,r_social_tie
concierge,de l',immeuble,r_social_tie
portier,de l',hôtel,r_social_tie
réceptionniste,de l',hôtel,r_social_tie
serveur,du,restaurant,r_social_tie
sommelier,du,restaurant,r_social_tie
chef,de la,cuisine,r_social_tie
cuisinier,du,restaurant,r_social_tie
pâtissier,de la,boutique,r_social_tie
boulanger,du,village,r_social_tie
boucher,du,quartier,r_social_tie
poissonnier,du,marché,r_social_tie
épicier,du,coin,r_social_tie
commerçant,du,quartier,r_social_tie
vendeur,du,magasin,r_social_tie
gérant,de la,boutique,r_social_tie
patron,du,café,r_social_tie
barman,du,bar,r_social_tie
tenancier,de l',auberge,r_social_tie
hôtelier,de l',hôtel,r_social_tie
aubergiste,de l',auberge,r_social_tie
cabaretier,du,cabaret,r_social_tie
animateur,de l',émission,r_social_tie
présentateur,du,journal,r_social_tie
journaliste,du,journal,r_social_tie
reporter,du,journal,r_social_tie
correspondant,de la,région,r_social_tie
chroniqueur,de l',émission,r_social_tie
rédacteur,du,magazine,r_social_tie
éditorialiste,du,journal,r_social_tie
critique,du,journal,r_social_tie
commentateur,de l',émission,r_social_tie
consultant,de l',émission,r_social_tie
expert,de l',émission,r_social_tie
analyste,du,débat,r_social_tie
modérateur,du,forum,r_social_tie
médiateur,du,conflit,r_social_tie
arbitre,du,match,r_social_tie
juge,de la,compétition,r_social_tie
commissaire,de la,course,r_social_tie
chronométreur,de l',épreuve,r_social_tie
contrôleur,de la,compétition,r_social_tie
délégué,de la,fédération,r_social_tie
responsable,de la,section,r_social_tie
coordinateur,du,projet,r_social_tie
superviseur,de l',équipe,r_social_tie
manager,de l',équipe,r_social_tie
dirigeant,de l',entreprise,r_social_tie
président,de l',entreprise,r_social_tie
directeur,de l',entreprise,r_social_tie
administrateur,de la,société,r_social_tie
gérant,de la,société,r_social_tie
chef,de l',entreprise,r_social_tie
patron,de l',entreprise,r_social_tie
employeur,des,salariés,r_social_tie
contremaître,de l',atelier,r_social_tie
chef,de l',atelier,r_social_tie
chef,du,chantier,r_social_tie
conducteur,des,travaux,r_social_tie
architecte,du,projet,r_social_tie
ingénieur,du,projet,r_social_tie
technicien,du,service,r_social_tie
ouvrier,du,chantier,r_social_tie
artisan,de l',atelier,r_social_tie
compagnon,de l',atelier,r_social_tie
apprenti,du,maître,r_social_tie
stagiaire,de l',entreprise,r_social_tie
employé,de l',entreprise,r_social_tie
salarié,de l',entreprise,r_social_tie
collaborateur,de l',équipe,r_social_tie
collègue,du,bureau,r_social_tie
associé,de l',entreprise,r_social_tie
partenaire,de l',affaire,r_social_tie
actionnaire,de la,société,r_social_tie
investisseur,du,projet,r_social_tie
