A,determinant,B,type_relation
chanson,de,rock,r_topic
guide,d',histoire ancienne,r_topic
recette,du,Moyen-Age,r_topic
magazine,des,pâtisseries françaises,r_topic
ballet,de,comédie,r_topic
musée,des,comics,r_topic
podcast,d',histoire,r_topic
recette,de,cuisine vegan,r_topic
concert,de,piano,r_topic
séminaire,de,manga,r_topic
blog,de,super-héros,r_topic
festival,de,rap,r_topic
atelier,de,débats,r_topic
livre,du,Moyen-Age,r_topic
séminaire,de,romance,r_topic
documentaire,d',espionnage,r_topic
exposition,de,peintures,r_topic
anthologie,de la,stratégie,r_topic
application,d',opéra rock,r_topic
anthologie,de la,bande dessinée,r_topic
musée,de la,peinture,r_topic
recit,de la,poésie,r_topic
restaurant,de la,cuisine moléculaire,r_topic
opéra,d',amour,r_topic
cours,de,tir,r_topic
narration,de la,bande dessinée,r_topic
site,d',ordinateur,r_topic
vidéo,de,tir,r_topic
site,de,yoga,r_topic
conférence,de,théâtre classique,r_topic
atelier,d',intelligence artificielle,r_topic
émission,d',intelligence artificielle,r_topic
podcast,du,Moyen-Age,r_topic
séminaire,de,guitare,r_topic
musée,d',horreur,r_topic
cours,de,littérature,r_topic
conférence,de,magie,r_topic
ballet,de,rap,r_topic
émission,d',histoire,r_topic
festival,de,mode,r_topic
bar,de,chats,r_topic
site,de,danse,r_topic
photo,de,tigre,r_topic
série,de,zombies,r_topic
salle,de,coworking,r_topic
recette,de,cuisine,r_topic
vidéo,d',autopsie,r_topic
film,d',amour,r_topic
anthologie,du,design,r_topic
festival,de,cinéma,r_topic
guide,de,tir,r_topic
festival,d',essai,r_topic
vidéo,du,théâtre classique,r_topic
podcast,d',architecture,r_topic
exposition,des,pirates,r_topic
manuel,d',histoire,r_topic
pièce,d',astronomie,r_topic
manuel,des,robots,r_topic
guide,de,finance,r_topic
album,d',aliens,r_topic
podcast,de,photographie,r_topic
podcast,de,guerre,r_topic
séminaire,de la,bande dessinée,r_topic
jeu,de la,chimie quantique,r_topic
musée,de la,photo,r_topic
livre,d',économie,r_topic
roman,d',histoire méditerranéennes,r_topic
conférence,de,chimie quantique,r_topic
cours,de,sorcellerie,r_topic
séminaire,de,cuisine,r_topic
application,de,livraison,r_topic
récit,d',OVNI,r_topic
vidéo,de,randonnée,r_topic
vidéo,d',espace,r_topic
vidéo,d',histoire ancienne,r_topic
livre,d',histoire ancienne,r_topic
émission,de,biologie,r_topic
application,de,photo,r_topic
cours,d',IA,r_topic
tableau,d',amour,r_topic
tableau,de,street art,r_topic
oeuvres,de,poésie,r_topic
cours,de,naration,r_topic
cinéma,de,films indépendants,r_topic
guide,du,punk,r_topic
manuel,de la,nature,r_topic
licence,de,médecine,r_topic
roman,de,romance,r_topic
roman,d',espionnage,r_topic
application,d',actualités politiques,r_topic
émission,de,gaming,r_topic
exposition,de,super-héros,r_topic
film,de,vegan,r_topic
film,de,science-fiction,r_topic
cours,d',opéra rock,r_topic
blog,de,psychologie,r_topic
application,d',économie,r_topic
conférence,de la,guerre,r_topic
musée,du,pacifisme,r_topic
narration,d'une,histoire ancienne,r_topic
vidéo,de,romance,r_topic
magazine,du,cinéma,r_topic
album,de la,poésie,r_topic
scène,de,polar,r_topic
anthologie,de,l'espace,r_topic
application,de,cuisine,r_topic
page,de,manga,r_topic
site,de,voyage,r_topic
restaurant,d',insecte,r_topic
podcast,d',art moderne,r_topic
jeu,de,photographie,r_topic
site,de,jardinage,r_topic
musée,de la,guerre,r_topic
livre,de,bricolage,r_topic
guide,des,robots,r_topic
jeu,de,technologie,r_topic
cours,de,méditation,r_topic
pièce,de,sushis,r_topic
documentaire,de,méditation,r_topic
conférence,d',intelligence artificielle,r_topic
magazin,d',habits,r_topic
émission,de,sport,r_topic
guide,de la,biographie,r_topic
album,de,musique moderne,r_topic
série,d',OVNI,r_topic
restaurant,d',inde,r_topic
narration,de la,conspiration,r_topic
cabinet,d',architecture,r_topic
conférence,de,rap,r_topic
roman,d',aventure,r_topic
magazine,de,stratégie,r_topic
séminaire,de,pâtisserie,r_topic
magazine,de,robots,r_topic
clinique,de,santé,r_topic
site,de,mystère,r_topic
site,d',art,r_topic
ballet,de,stratégie,r_topic
chanson,d',espionnage,r_topic
peinture,d',OVNI,r_topic
narration,du,mystère,r_topic
chaîne,d',actualités,r_topic
roman,du,comédie,r_topic
musée,de la,biographie,r_topic
musique,de,yoga,r_topic
album,de,guitare,r_topic
séminaire,de,jazz,r_topic
magazine,des,super-héros,r_topic
cours,de,cuisine,r_topic
séminaire,de,psychologie,r_topic
guide,de,sorcelerie,r_topic
opéra,de,danse,r_topic
vidéo,de,l'OVNI,r_topic
vidéos,de,vegan,r_topic
jeu,de la,poésie,r_topic
